result0	result_desc	manifestation	advice
+1	1号染色体三体，三体多是由于减数分裂过程中染色体不分离导致。	三体多见于孕妇自发性流产。	1号染色体三体多为新发染色体异常，再发风险较低。再发相关的原因可能有：孕妇高龄；生殖细胞嵌合体；父母存在与染色体不分离易感性有关的遗传或非遗传因素等。再次生育时，需进行产前筛查和产前诊断。请医生结合受检者的临床信息进行综合评估。
+2	2号染色体三体，三体多是由于减数分裂过程中染色体不分离导致。	三体多见于孕妇自发性流产。	2号染色体三体多为新发染色体异常，再发风险较低。再发相关的原因可能有：孕妇高龄；生殖细胞嵌合体；父母存在与染色体不分离易感性有关的遗传或非遗传因素等。再次生育时，需进行产前筛查和产前诊断。请医生结合受检者的临床信息进行综合评估。
+3	3号染色体三体，三体多是由于减数分裂过程中染色体不分离导致。	三体多见于孕妇自发性流产。	3号染色体三体多为新发染色体异常，再发风险较低。再发相关的原因可能有：孕妇高龄；生殖细胞嵌合体；父母存在与染色体不分离易感性有关的遗传或非遗传因素等。再次生育时，需进行产前筛查和产前诊断。请医生结合受检者的临床信息进行综合评估。
+4	4号染色体三体，三体多是由于减数分裂过程中染色体不分离导致。	三体多见于孕妇自发性流产。	4号染色体三体多为新发染色体异常，再发风险较低。再发相关的原因可能有：孕妇高龄；生殖细胞嵌合体；父母存在与染色体不分离易感性有关的遗传或非遗传因素等。再次生育时，需进行产前筛查和产前诊断。请医生结合受检者的临床信息进行综合评估。
+5	5号染色体三体，三体多是由于减数分裂过程中染色体不分离导致。	三体多见于孕妇自发性流产。	5号染色体三体多为新发染色体异常，再发风险较低。再发相关的原因可能有：孕妇高龄；生殖细胞嵌合体；父母存在与染色体不分离易感性有关的遗传或非遗传因素等。再次生育时，需进行产前筛查和产前诊断。请医生结合受检者的临床信息进行综合评估。
+6	6号染色体三体，三体多是由于减数分裂过程中染色体不分离导致。	三体多见于孕妇自发性流产。	6号染色体三体多为新发染色体异常，再发风险较低。再发相关的原因可能有：孕妇高龄；生殖细胞嵌合体；父母存在与染色体不分离易感性有关的遗传或非遗传因素等。再次生育时，需进行产前筛查和产前诊断。请医生结合受检者的临床信息进行综合评估。
+7	7号染色体三体，三体多是由于减数分裂过程中染色体不分离导致。	三体多见于孕妇自发性流产。	7号染色体三体多为新发染色体异常，再发风险较低。再发相关的原因可能有：孕妇高龄；生殖细胞嵌合体；父母存在与染色体不分离易感性有关的遗传或非遗传因素等。再次生育时，需进行产前筛查和产前诊断。请医生结合受检者的临床信息进行综合评估。
+8	8号染色体三体，三体多是由于减数分裂过程中染色体不分离导致。	三体多见于孕妇自发性流产。	8号染色体三体多为新发染色体异常，再发风险较低。再发相关的原因可能有：孕妇高龄；生殖细胞嵌合体；父母存在与染色体不分离易感性有关的遗传或非遗传因素等。再次生育时，需进行产前筛查和产前诊断。请医生结合受检者的临床信息进行综合评估。
+9	9号染色体三体，三体多是由于减数分裂过程中染色体不分离导致。	三体多见于孕妇自发性流产。	9号染色体三体多为新发染色体异常，再发风险较低。再发相关的原因可能有：孕妇高龄；生殖细胞嵌合体；父母存在与染色体不分离易感性有关的遗传或非遗传因素等。再次生育时，需进行产前筛查和产前诊断。请医生结合受检者的临床信息进行综合评估。
+10	10号染色体三体，三体多是由于减数分裂过程中染色体不分离导致。	三体多见于孕妇自发性流产。	10号染色体三体多为新发染色体异常，再发风险较低。再发相关的原因可能有：孕妇高龄；生殖细胞嵌合体；父母存在与染色体不分离易感性有关的遗传或非遗传因素等。再次生育时，需进行产前筛查和产前诊断。请医生结合受检者的临床信息进行综合评估。
