#b5b6	p3_p4	b1_4	g	Gr	r	t	u2	u3	y1_y2	y3_y4	code	status
3.775	1.0367	3.8521	3.1609	1.8759	3.7754	1.9787	0.8871	0.9338	1.9	3.5279	12	P5P4 dup
1.9593	0.967	5.868	4.8785	3.6112	7.1644	2.139	0.9803	0.9717	3.816	1.8984	11	gr/gr trio
1.8392	0.9722	7.5064	7.3433	5.0707	10.9498	2.2975	0.9432	0.902	5.4165	1.8423	10	gr/gr four
1.8671	1.027	4.701	4.3902	2.7447	5.4936	2.1757	0.939	0.9343	3.2866	1.8602	9	gr/gr dup
1.9179	1.0034	4.6925	3.8082	2.7511	5.5239	2.0355	0.9497	0.97	2.845	1.8494	9	gr/gr dup
2.0017	1.0178	5.1522	4.5542	2.8665	5.7442	2.1962	0.9901	0.9252	3.0305	1.977	9	gr/gr dup
1.8978	1.0256	4.6624	4.2058	2.6292	5.1678	2.1013	0.9358	0.8407	2.7522	1.908	9	gr/gr dup
2.0233	1.0178	5.0367	4.228	2.9262	6.0303	2.2078	0.9984	1.0468	3.0052	2.025	9	gr/gr dup
1.991	1.0432	5.0771	4.3783	2.8475	5.9753	2.1164	1.0524	0.9949	3.0732	2.0032	9	gr/gr dup
1.9512	1.0517	5.0504	4.2889	2.9205	5.7766	2.1498	0.9762	0.9201	3.0383	1.9623	9	gr/gr dup
2.0319	0.977	4.917	3.9268	2.7672	5.5149	2.0197	0.9681	0.989	2.8853	1.9616	9	gr/gr dup
1.9249	0.9623	4.8671	3.8117	2.8132	5.8432	1.9895	1.0222	1.0198	2.8654	1.8752	9	gr/gr dup
1.8621	1.0226	4.7014	4.2143	2.6773	5.3389	2.1611	0.9761	0.87	2.7918	1.8755	9	gr/gr dup
1.8624	1.0465	4.7071	4.3965	2.7436	5.3145	2.3032	0.939	0.8898	2.7645	1.9114	9	gr/gr dup
1.9013	0.9639	4.7301	4.2308	2.7755	5.2308	2.0817	0.9251	0.9171	2.7779	1.7451	9	gr/gr dup
1.8904	0.9733	4.7985	4.2149	2.6799	5.4765	2.0617	0.8914	0.8637	2.837	1.8496	9	gr/gr dup
1.9465	0.9939	5.0325	4.574	2.9244	6.0306	2.1528	0.9935	1.0198	3.0486	1.8945	9	gr/gr dup
1.9601	1.0466	4.9422	4.1534	2.7509	5.895	2.1782	0.9742	0.9398	2.8661	1.9011	9	gr/gr dup
1.7867	1.054	4.5669	3.8434	2.5617	5.4163	1.8886	0.9622	0.891	2.744	1.8066	9	gr/gr dup
1.8994	1.0019	3.9417	4.5868	1.3448	3.7832	2.165	0.9235	1.6951	1.9702	1.9634	8	gr/gr del+b2/b4 dup
1.8535	0.9825	3.8275	4.2609	1.2395	3.7194	1.9611	0.9148	1.6717	1.9729	1.7727	8	gr/gr del+b2/b4 dup
1.7741	1.0658	2.723	2.2151	0.9225	1.8206	2.2769	0.9357	0.8904	0.8718	1.9486	7	gr/gr del
1.9408	0.9661	2.9225	1.7661	0.9607	1.8566	1.6423	1.0182	0.923	0.9998	1.7414	7	gr/gr del
1.8899	1.0167	2.8556	2.131	1.0877	1.9291	1.9837	0.9513	0.9481	0.9778	1.817	7	gr/gr del
1.7835	1.0331	2.6285	2.1327	1.0309	1.7409	1.9078	0.9355	0.8915	1.141	1.9057	7	gr/gr del
1.8706	1.0269	2.7989	1.8336	1.0988	1.8996	1.7099	0.9487	0.9275	1.245	1.8098	7	gr/gr del
1.792	1.0111	2.7944	2.0101	1.1004	1.8273	1.8861	0.91	0.9096	0.9897	1.8643	7	gr/gr del
1.8798	1.0265	2.8314	1.9132	1.1083	1.8333	1.836	0.9171	0.9448	1.2269	1.831	7	gr/gr del
1.8113	1.0843	2.7031	2.1855	1.006	1.6905	2.4578	0.8545	0.8777	0.9064	1.9756	7	gr/gr del
1.8475	1.0671	2.784	2.1353	1.0906	1.7154	2.2984	0.8583	0.8569	1.1884	1.9348	7	gr/gr del
1.9352	0.9947	2.856	2.0762	1.1293	1.9161	2.0199	0.9729	0.9169	1.2393	1.8758	7	gr/gr del
1.7568	1.0168	2.7047	2.0669	1.1119	1.9196	2.0613	0.9091	0.9045	0.9808	1.8954	7	gr/gr del
1.7555	1.0213	2.6533	2.0176	1.0855	1.8003	1.928	0.9258	0.8533	1.1581	1.8587	7	gr/gr del
1.765	1.0341	2.7229	2.1433	1.1298	1.8485	2.0143	0.9354	0.9385	1.2439	1.9053	7	gr/gr del
1.7529	1.0348	2.6855	1.9789	1.1567	1.8799	2.068	0.914	0.867	0.9832	1.9359	7	gr/gr del
1.7414	1.0098	2.7775	2.0599	1.2045	1.8919	1.8828	0.9102	0.8906	1.0333	1.9555	7	gr/gr del
1.8789	0.9838	2.4814	1.1855	1.0902	1.1891	1.7763	0.934	0.6165	0.7061	1.8831	7	gr/gr del
1.8291	1.002	3.4675	2.0775	1.122	1.8912	2.033	0.9248	0.9022	1.0667	1.9049	7	gr/gr del
1.9323	1.0548	3.0267	2.2574	1.1649	1.9781	2.0941	0.9942	0.9821	1.0597	1.9805	7	gr/gr del
1.8708	0.9734	2.9071	2.069	1.056	1.8291	1.8961	0.918	0.9241	0.9853	1.879	7	gr/gr del
2.0165	1.0055	3.0402	2.0662	1.1931	1.9904	2.0215	1.0263	1.0004	1.0596	1.9745	7	gr/gr del
2.0151	1.004	3.1152	2.0566	1.1788	2.1544	1.9422	1.0343	0.9698	1.0652	2.0031	7	gr/gr del
1.9302	0.9896	2.9673	1.9782	1.1307	1.9729	1.8718	0.9677	0.9916	1.0213	1.8379	7	gr/gr del
1.914	0.9682	2.806	1.8813	1.0607	1.8787	1.802	0.9727	1.2382	0.967	1.8219	7	gr/gr del
1.9956	1.0057	3.0889	2.0706	1.1886	1.993	2.0091	1.0128	1.0012	1.0734	1.9849	7	gr/gr del
1.8452	1.0183	2.8777	2.1824	1.1344	1.8888	2.2565	0.8958	0.7544	0.9687	2.0267	7	gr/gr del
1.9897	1.0136	2.9751	2.2346	1.1723	2.0489	2.1078	0.9881	1.0091	1.0582	1.9557	7	gr/gr del
1.8871	1.0174	2.9178	2.1675	1.0505	1.8061	1.9095	0.8883	0.936	0.982	1.7378	7	gr/gr del
1.8856	0.9869	2.9513	2.1569	1.1002	1.8648	1.8545	0.9473	0.9583	1.0442	1.7721	7	gr/gr del
1.8645	0.9959	2.8435	2.2496	1.0966	1.8547	2.2762	0.9052	0.8218	0.963	2.0205	7	gr/gr del
1.9062	1.0632	2.959	2.2234	1.1302	2.0044	2.0475	0.9597	0.9081	1.0362	1.9082	7	gr/gr del
1.9233	0.9922	2.929	2.1252	1.1013	1.9217	2.0157	0.8821	0.944	0.9802	1.9622	7	gr/gr del
1.8175	1.0581	2.8652	2.2997	1.1113	1.8877	2.3563	0.8998	0.8152	0.9821	2.0382	7	gr/gr del
1.8694	1.0043	2.8926	2.0721	1.0854	1.8864	1.9899	0.9642	0.8368	0.9552	1.9546	7	gr/gr del
1.8012	1.0432	2.834	2.2117	1.0395	1.8012	2.1394	0.8859	0.8647	0.9649	1.9023	7	gr/gr del
1.9157	1.0962	2.8317	2.1499	1.1112	1.8731	2.0832	0.9344	0.9089	0.9743	1.845	7	gr/gr del
1.9225	1.0214	2.9796	2.1506	1.1287	2.0693	1.9713	0.973	0.9672	1.0598	1.9092	7	gr/gr del
1.8646	1.03	2.8953	2.1499	1.094	1.9887	1.917	0.9065	0.9366	1.0873	1.9039	7	gr/gr del
3.4767	1.0602	3.8125	3.2016	1.9006	3.6767	2.1911	0.9351	0.8759	1.8341	1.9773	6	b5/b6 dup
3.5158	1.0165	4.0715	3.2774	2.0203	4.0315	1.9793	0.9588	0.93	2.0845	2.0644	6	b5/b6 dup
2.5188	0.9925	3.8374	2.8416	1.9325	3.7336	1.893	0.9935	0.8612	1.9484	1.8201	6	b5/b6 dup
1.9697	0.9581	5.8518	5.7782	2.9859	7.359	2.0522	0.986	1.8635	3.8204	1.8413	5	b2/b4 dup
1.8739	1.0043	5.6443	6.3944	2.8594	7.3553	2.3075	0.9364	1.7445	3.6428	1.8781	5	b2/b4 dup
1.8592	0.9945	4.7952	5.3808	2.1056	5.4852	2.1231	0.9356	1.7279	2.8992	1.8901	4	b2/b3 dup
1.8388	1.0104	4.613	4.9776	2.0386	4.9869	2.1177	0.8907	1.5439	2.7183	1.9051	4	b2/b3 dup
1.9034	0.9819	4.6108	4.9014	2.0113	5.3455	2.0862	0.9097	1.6717	2.7073	1.8764	4	b2/b3 dup
1.9117	1.003	5.05	5.5901	2.2226	5.6309	2.1803	0.9634	1.7164	2.9298	1.9515	4	b2/b3 dup
1.8964	0.9626	4.7893	4.7552	2.0964	5.3053	1.9772	0.9853	1.8418	2.7918	1.8773	4	b2/b3 dup
1.8632	1.0209	4.6619	5.8275	2.0689	5.0867	2.4614	0.9051	1.6803	2.7411	1.8745	4	b2/b3 dup
1.9188	0.9947	4.6363	5.6733	1.4391	5.4294	1.9203	0.8827	2.4076	2.7264	1.9079	4	b2/b3 dup
1.8556	1.0499	4.7246	5.6636	2.0555	5.5456	2.2882	0.8962	1.8192	2.7975	1.838	4	b2/b3 dup
1.9072	1.0832	2.9597	1.0695	1.6756	2.3259	1.9276	0.9002	0.1961	1.0589	1.8045	3	b2/b3 del
1.9835	1.0052	3.0391	1.0436	1.8109	2.0156	1.9826	0.9771	0.1339	1.0574	2.0093	3	b2/b3 del
1.9562	0.916	2.8612	1.9684	1.8423	2.8514	1.8147	0.9993	0.9846	1.0066	1.8924	3	b2/b3 del
1.8819	1.0039	3.1262	1.1285	2.4904	3.0943	2.177	0.9433	0.1359	0.9724	1.8307	3	b2/b3 del
1.8968	1.0464	2.9105	1.0271	1.7395	2.3297	2.0262	0.9602	0.1391	1.0015	1.9122	3	b2/b3 del
1.9832	1.0063	2.9954	1.0028	1.7975	1.9948	1.9166	0.986	0.1283	1.0225	1.8432	3	b2/b3 del
1.9152	1.0139	2.9222	0.9675	1.7389	1.9703	1.8393	1.0193	0.1447	1.0015	1.8154	3	b2/b3 del
1.6648	1.0761	2.5562	1.1571	1.5847	1.6727	1.8874	0.9144	0.1577	0.9276	1.8437	3	b2/b3 del
1.8184	1.0415	2.7427	0.98	1.7287	1.9356	1.6194	1.0261	0.2229	1.0157	1.7538	3	b2/b3 del
1.7569	1.0357	2.7435	0.9403	1.6045	1.8541	1.6062	0.9645	0.2451	0.9959	1.68	3	b2/b3 del
2.01	1.0574	3.0197	0.9558	1.7475	2.1157	1.7291	0.9831	0.2213	1.0539	1.7907	3	b2/b3 del
1.9468	1.0419	2.8735	0.9767	1.7465	2.0201	1.7604	0.9338	0.2259	1.0394	1.8541	3	b2/b3 del
1.9054	1.0645	2.8937	1.0028	1.756	2.0046	1.8034	0.9741	0.1776	1.0264	1.7841	3	b2/b3 del
1.939	1.0791	2.9447	1.0094	1.7506	2.0268	1.779	0.9816	0.1972	1.0371	1.7928	3	b2/b3 del
1.9118	1.0459	2.9094	1.0743	1.7867	2.361	1.9663	0.9545	0.2174	1.017	1.8488	3	b2/b3 del
1.7544	1.0349	2.6136	0.9338	1.5744	1.8558	1.6784	0.9394	0.1988	0.9515	1.66	3	b2/b3 del
1.9175	1.0595	2.8818	1.0887	1.7829	1.924	1.8648	0.992	0.2262	1.0208	1.9133	3	b2/b3 del
1.7725	1.1021	2.8196	1.2508	1.6675	1.7916	2.1081	0.8074	0.1612	1.0124	1.8185	3	b2/b3 del
2.0279	1.0431	3.1094	0.9989	1.8412	1.9718	1.8099	1.0161	0.1899	1.0937	1.8705	3	b2/b3 del
1.6701	1.0938	2.7357	1.2488	1.4865	1.6969	1.9396	0.8422	0.1199	0.9819	1.8407	3	b2/b3 del
1.7208	1.1091	1.8679	2.3529	0.8574	1.6602	0.234	0.0297	0.1203	1.8368	1.7785	2	b1/b3 del
0.0047	0.0234	1.2848	2.386	1.135	1.9543	0.0939	0.0796	0.2901	1.1488	1.3098	1	AZFb
1.8704	1.0428	3.8588	3.299	1.8746	3.5836	2.2072	0.9346	0.9041	1.9104	1.9279	0	OK
1.9255	1.0324	3.8255	2.8928	1.9005	3.7284	2.0173	0.9633	0.9496	1.9391	1.8681	0	OK
1.7916	1.1092	3.677	3.7854	1.8729	3.4428	2.4097	0.9208	0.8327	1.8222	1.8645	0	OK
1.978	0.9819	3.9156	2.929	1.9615	3.7614	2.002	0.9681	0.8879	1.9684	1.9105	0	OK
1.8149	0.9879	3.5774	3.3162	1.7727	3.4454	2.1958	0.8651	0.8594	1.8076	1.8632	0	OK
1.7748	0.971	3.5456	3.2505	1.7985	3.43	2.105	0.8459	0.8489	1.7963	1.7473	0	OK
1.813	0.9866	3.6109	3.5246	1.8821	3.3941	2.3469	0.8594	0.8596	1.8097	1.8446	0	OK
1.871	1.0322	3.4931	3.101	1.7901	3.3192	2.0221	0.8653	0.8678	1.7635	1.7333	0	OK
1.6755	1.1217	3.5784	3.8893	1.758	3.239	2.6141	0.884	0.8027	1.6918	1.9244	0	OK
1.7991	1.0132	3.7173	3.486	1.8454	3.4439	2.2232	0.8972	0.8064	1.8421	1.7558	0	OK
3.4004	1.0583	3.6876	3.5341	1.8544	3.5389	2.2114	0.903	0.8407	1.8464	1.8678	0	OK
1.7521	1.0281	3.6237	3.6567	1.7893	3.3571	2.4265	0.8533	0.7334	1.7582	1.8273	0	OK
1.7805	1.0561	3.6998	3.6525	1.8334	3.4888	2.4133	0.879	0.8876	1.7901	1.9414	0	OK
1.7409	1.0299	3.6719	3.5602	1.8264	3.2955	2.3588	0.8628	0.872	1.8206	1.8101	0	OK
1.9812	1.0318	3.8646	3.1435	2.0027	3.6656	2.0824	0.9473	0.936	1.9751	1.847	0	OK
1.9971	0.9942	3.9162	2.9447	1.938	3.7946	1.8182	0.9643	1.0837	1.9879	1.9092	0	OK
1.8806	0.9626	3.7008	3.0145	1.9125	3.6293	2.0788	0.9139	1.0058	1.9128	1.893	0	OK
1.8871	1.0061	3.8221	2.8349	1.9405	3.7491	1.9244	0.9655	0.9767	1.9895	1.8367	0	OK
1.9095	0.9653	3.8211	2.7856	1.9357	3.6797	1.8339	0.9078	1.0214	1.9113	1.8173	0	OK
1.9869	0.9125	3.7787	2.7808	1.8469	3.598	1.9089	0.9404	0.9232	1.9065	1.826	0	OK
1.8493	0.9851	3.7659	3.19	1.9541	3.687	2.2028	0.9217	0.9396	1.8839	1.9793	0	OK
1.8449	1.0076	3.795	3.38	1.9402	3.7238	2.4001	0.9414	0.8322	1.8411	2.0632	0	OK
1.8846	1.0533	3.8451	3.2285	1.9774	3.7569	2.2766	0.928	0.9412	1.8634	1.9968	0	OK
1.9721	1.0349	3.9919	3.1042	2.0328	3.8228	2.1311	0.9442	0.8924	1.9821	1.9966	0	OK
1.8944	1.0115	3.8031	2.973	1.8712	3.73	2.0223	0.9506	0.9383	1.8877	1.9307	0	OK
1.8895	1.0284	3.8723	3.3479	1.8932	3.5399	2.2099	0.8749	0.9239	1.9083	1.8332	0	OK
1.8795	0.9967	3.8403	2.931	1.921	3.8148	2.0646	0.9155	0.9351	1.8903	1.9866	0	OK
1.8947	1.0738	3.7846	3.1605	1.8799	3.6454	2.1021	0.921	0.9209	1.9059	1.8575	0	OK
1.9057	1.0093	3.7807	2.8392	1.8969	3.6108	1.9317	0.9361	0.9104	1.8811	1.8924	0	OK
1.6588	1.0566	3.5472	2.9834	1.8451	3.4373	2.1062	0.9059	0.8493	1.7686	1.938	0	OK
1.5602	1.0166	3.2306	3.0607	1.6759	3.1796	2.242	0.8058	0.7939	1.5642	1.9335	0	OK
1.7568	1.0472	3.456	3.0505	1.8039	3.3964	2.101	0.8758	0.8056	1.7366	1.9118	0	OK
1.7358	1.0555	3.5783	3.1357	1.7958	3.4146	2.1729	0.943	0.8173	1.7766	1.9826	0	OK
1.7865	1.0527	3.5615	3.1549	1.7643	3.386	2.2473	0.8859	0.8637	1.7258	1.9307	0	OK
1.8173	1.0723	3.7267	3.355	1.897	3.6462	2.3228	0.9018	0.8106	1.8719	1.9785	0	OK
1.8404	1.0165	3.843	3.3924	1.9393	3.6051	2.128	0.9504	0.8924	1.9315	1.885	0	OK
