##Chromosome	MAQP	Length	ReadsNums
chr1	6	7	140
chr1	6	8	177
chr1	6	9	224
chr1	6	10	244
chr1	6	11	322
chr1	6	12	342
chr1	6	13	380
chr1	6	14	440
chr1	6	15	494
chr1	6	16	578
chr1	6	17	673
chr1	6	18	778
chr1	6	19	833
chr1	6	20	1089
chr1	6	21	1212
chr1	6	22	1474
chr1	6	23	1678
chr1	6	24	2502
chr1	6	25	2342
chr1	6	26	3905
chr1	6	27	4789
chr1	6	28	7512
chr1	6	29	8303
chr1	6	30	9988
chr1	6	31	12208
chr1	6	32	17194
chr1	6	33	21887
chr1	6	34	17975
chr1	6	35	14811
chr1	6	36	9311
chr1	6	37	6599
chr1	6	38	4181
chr1	6	39	2817
chr1	6	40	1984
chr1	6	41	1377
chr1	6	42	993
chr1	6	43	677
chr1	6	44	508
chr1	6	45	344
chr1	6	46	260
chr1	6	47	229
chr1	6	48	196
chr1	6	49	185
chr1	6	50	176
chr1	6	51	186
chr1	6	52	219
chr1	6	53	277
chr1	6	54	283
chr1	6	55	307
chr1	6	56	375
chr1	6	57	309
chr1	6	58	304
chr1	6	59	269
chr1	6	60	199
chr1	6	61	122
chr1	6	62	59
chr1	6	63	58
chr1	6	64	18
chr1	6	65	3
chr1	6	66	2
chr1	6	67	1
chr2	6	7	174
chr2	6	8	211
chr2	6	9	222
chr2	6	10	243
chr2	6	11	311
chr2	6	12	369
chr2	6	13	436
chr2	6	14	425
chr2	6	15	516
chr2	6	16	615
chr2	6	17	638
chr2	6	18	876
chr2	6	19	903
chr2	6	20	1076
chr2	6	21	1296
chr2	6	22	1485
chr2	6	23	1708
chr2	6	24	2619
chr2	6	25	2371
chr2	6	26	4240
chr2	6	27	4990
chr2	6	28	7858
chr2	6	29	8744
chr2	6	30	10749
chr2	6	31	12918
chr2	6	32	18110
chr2	6	33	23328
chr2	6	34	19220
chr2	6	35	15460
chr2	6	36	10239
chr2	6	37	6995
chr2	6	38	4561
chr2	6	39	3105
chr2	6	40	2165
chr2	6	41	1484
chr2	6	42	1046
chr2	6	43	713
chr2	6	44	513
chr2	6	45	371
chr2	6	46	270
chr2	6	47	270
chr2	6	48	186
chr2	6	49	185
chr2	6	50	184
chr2	6	51	207
chr2	6	52	213
chr2	6	53	238
chr2	6	54	275
chr2	6	55	320
chr2	6	56	331
chr2	6	57	351
chr2	6	58	289
chr2	6	59	280
chr2	6	60	233
chr2	6	61	128
chr2	6	62	76
chr2	6	63	36
chr2	6	64	12
chr2	6	65	3
chr2	6	66	3
chr2	6	68	2
chr3	6	7	141
chr3	6	8	170
chr3	6	9	169
chr3	6	10	212
chr3	6	11	256
chr3	6	12	289
chr3	6	13	352
chr3	6	14	387
chr3	6	15	450
chr3	6	16	508
chr3	6	17	526
chr3	6	18	652
chr3	6	19	725
chr3	6	20	993
chr3	6	21	1021
chr3	6	22	1337
chr3	6	23	1403
chr3	6	24	2142
chr3	6	25	1914
chr3	6	26	3355
chr3	6	27	4120
chr3	6	28	6471
chr3	6	29	7100
chr3	6	30	8741
chr3	6	31	10600
chr3	6	32	14767
chr3	6	33	19134
chr3	6	34	15676
chr3	6	35	12659
chr3	6	36	8243
chr3	6	37	5708
chr3	6	38	3683
chr3	6	39	2467
chr3	6	40	1736
chr3	6	41	1185
chr3	6	42	870
chr3	6	43	632
chr3	6	44	452
chr3	6	45	317
chr3	6	46	257
chr3	6	47	201
chr3	6	48	175
chr3	6	49	162
chr3	6	50	157
chr3	6	51	168
chr3	6	52	162
chr3	6	53	209
chr3	6	54	199
chr3	6	55	275
chr3	6	56	263
chr3	6	57	289
chr3	6	58	265
chr3	6	59	201
chr3	6	60	166
chr3	6	61	96
chr3	6	62	68
chr3	6	63	28
chr3	6	64	16
chr3	6	65	3
chr3	6	66	2
chr3	6	69	1
chr4	6	7	138
chr4	6	8	161
chr4	6	9	168
chr4	6	10	226
chr4	6	11	258
chr4	6	12	247
chr4	6	13	282
chr4	6	14	351
chr4	6	15	383
chr4	6	16	467
chr4	6	17	492
chr4	6	18	664
chr4	6	19	668
chr4	6	20	864
chr4	6	21	924
chr4	6	22	1168
chr4	6	23	1330
chr4	6	24	2015
chr4	6	25	1787
chr4	6	26	3032
chr4	6	27	3680
chr4	6	28	5881
chr4	6	29	6465
chr4	6	30	8044
chr4	6	31	9634
chr4	6	32	13667
chr4	6	33	17542
chr4	6	34	14397
chr4	6	35	11738
chr4	6	36	7677
chr4	6	37	5196
chr4	6	38	3515
chr4	6	39	2298
chr4	6	40	1679
chr4	6	41	1129
chr4	6	42	770
chr4	6	43	524
chr4	6	44	356
chr4	6	45	264
chr4	6	46	218
chr4	6	47	158
chr4	6	48	161
chr4	6	49	105
chr4	6	50	148
chr4	6	51	143
chr4	6	52	158
chr4	6	53	186
chr4	6	54	182
chr4	6	55	220
chr4	6	56	251
chr4	6	57	230
chr4	6	58	224
chr4	6	59	158
chr4	6	60	123
chr4	6	61	74
chr4	6	62	45
chr4	6	63	25
chr4	6	64	11
chr4	6	65	7
chr4	6	66	4
chr5	6	7	123
chr5	6	8	127
chr5	6	9	183
chr5	6	10	188
chr5	6	11	214
chr5	6	12	268
chr5	6	13	278
chr5	6	14	325
chr5	6	15	358
chr5	6	16	488
chr5	6	17	506
chr5	6	18	629
chr5	6	19	647
chr5	6	20	792
chr5	6	21	924
chr5	6	22	1127
chr5	6	23	1251
chr5	6	24	1846
chr5	6	25	1748
chr5	6	26	3109
chr5	6	27	3567
chr5	6	28	5616
chr5	6	29	6262
chr5	6	30	7889
chr5	6	31	9269
chr5	6	32	13077
chr5	6	33	16975
chr5	6	34	14292
chr5	6	35	11453
chr5	6	36	7276
chr5	6	37	5015
chr5	6	38	3467
chr5	6	39	2304
chr5	6	40	1552
chr5	6	41	1049
chr5	6	42	766
chr5	6	43	533
chr5	6	44	383
chr5	6	45	257
chr5	6	46	209
chr5	6	47	163
chr5	6	48	148
chr5	6	49	146
chr5	6	50	140
chr5	6	51	142
chr5	6	52	180
chr5	6	53	163
chr5	6	54	211
chr5	6	55	217
chr5	6	56	250
chr5	6	57	231
chr5	6	58	226
chr5	6	59	168
chr5	6	60	151
chr5	6	61	91
chr5	6	62	48
chr5	6	63	20
chr5	6	64	4
chr5	6	65	4
chr5	6	66	5
chr5	6	67	2
chr6	6	7	112
chr6	6	8	144
chr6	6	9	148
chr6	6	10	185
chr6	6	11	224
chr6	6	12	250
chr6	6	13	281
chr6	6	14	333
chr6	6	15	380
chr6	6	16	406
chr6	6	17	468
chr6	6	18	604
chr6	6	19	622
chr6	6	20	785
chr6	6	21	855
chr6	6	22	1116
chr6	6	23	1212
chr6	6	24	1835
chr6	6	25	1692
chr6	6	26	3006
chr6	6	27	3576
chr6	6	28	5385
chr6	6	29	6059
chr6	6	30	7407
chr6	6	31	8870
chr6	6	32	12614
chr6	6	33	16028
chr6	6	34	13299
chr6	6	35	11006
chr6	6	36	7071
chr6	6	37	4997
chr6	6	38	3103
chr6	6	39	2084
chr6	6	40	1478
chr6	6	41	984
chr6	6	42	751
chr6	6	43	484
chr6	6	44	366
chr6	6	45	293
chr6	6	46	197
chr6	6	47	158
chr6	6	48	139
