##Chromosome	MAQP	Length	ReadsNums
chr1	6	7	267
chr1	6	8	309
chr1	6	9	334
chr1	6	10	394
chr1	6	11	473
chr1	6	12	478
chr1	6	13	502
chr1	6	14	589
chr1	6	15	705
chr1	6	16	842
chr1	6	17	1026
chr1	6	18	1713
chr1	6	19	2127
chr1	6	20	3843
chr1	6	21	4562
chr1	6	22	6858
chr1	6	23	8411
chr1	6	24	15907
chr1	6	25	19720
chr1	6	26	48546
chr1	6	27	56236
chr1	6	28	53553
chr1	6	29	22686
chr1	6	30	10947
chr1	6	31	9981
chr1	6	32	11887
chr1	6	33	11270
chr1	6	34	5337
chr1	6	35	1979
chr1	6	36	565
chr1	6	37	157
chr1	6	38	52
chr1	6	39	21
chr1	6	40	9
chr1	6	41	3
chr1	6	42	2
chr1	6	43	4
chr1	6	44	1
chr1	6	55	1
chr2	6	7	273
chr2	6	8	301
chr2	6	9	339
chr2	6	10	438
chr2	6	11	465
chr2	6	12	510
chr2	6	13	571
chr2	6	14	594
chr2	6	15	715
chr2	6	16	915
chr2	6	17	1121
chr2	6	18	1809
chr2	6	19	2259
chr2	6	20	3958
chr2	6	21	4681
chr2	6	22	7087
chr2	6	23	8545
chr2	6	24	16534
chr2	6	25	20370
chr2	6	26	49944
chr2	6	27	57748
chr2	6	28	55204
chr2	6	29	23427
chr2	6	30	11189
chr2	6	31	10170
chr2	6	32	12548
chr2	6	33	12006
chr2	6	34	5695
chr2	6	35	2143
chr2	6	36	590
chr2	6	37	142
chr2	6	38	38
chr2	6	39	31
chr2	6	40	9
chr2	6	41	5
chr2	6	42	3
chr2	6	43	2
chr2	6	44	2
chr2	6	47	1
chr2	6	48	1
chr3	6	7	226
chr3	6	8	271
chr3	6	9	283
chr3	6	10	313
chr3	6	11	322
chr3	6	12	409
chr3	6	13	413
chr3	6	14	531
chr3	6	15	569
chr3	6	16	721
chr3	6	17	879
chr3	6	18	1400
chr3	6	19	1880
chr3	6	20	3297
chr3	6	21	3946
chr3	6	22	5670
chr3	6	23	6816
chr3	6	24	13482
chr3	6	25	16693
chr3	6	26	40996
chr3	6	27	48049
chr3	6	28	45504
chr3	6	29	19129
chr3	6	30	9247
chr3	6	31	8473
chr3	6	32	10250
chr3	6	33	9286
chr3	6	34	4551
chr3	6	35	1666
chr3	6	36	486
chr3	6	37	131
chr3	6	38	40
chr3	6	39	21
chr3	6	40	7
chr3	6	41	3
chr3	6	42	3
chr3	6	44	1
chr3	6	46	1
chr3	6	47	1
chr3	6	49	1
chr4	6	7	198
chr4	6	8	221
chr4	6	9	269
chr4	6	10	297
chr4	6	11	294
chr4	6	12	341
chr4	6	13	420
chr4	6	14	413
chr4	6	15	544
chr4	6	16	634
chr4	6	17	740
chr4	6	18	1327
chr4	6	19	1590
chr4	6	20	2868
chr4	6	21	3399
chr4	6	22	5068
chr4	6	23	6159
chr4	6	24	11963
chr4	6	25	14595
chr4	6	26	36243
chr4	6	27	42226
chr4	6	28	40252
chr4	6	29	17071
chr4	6	30	8157
chr4	6	31	7441
chr4	6	32	9088
chr4	6	33	8694
chr4	6	34	4078
chr4	6	35	1576
chr4	6	36	448
chr4	6	37	115
chr4	6	38	36
chr4	6	39	8
chr4	6	40	8
chr4	6	41	3
chr4	6	42	3
chr4	6	43	1
chr4	6	44	3
chr5	6	7	182
chr5	6	8	240
chr5	6	9	261
chr5	6	10	298
chr5	6	11	307
chr5	6	12	346
chr5	6	13	408
chr5	6	14	439
chr5	6	15	489
chr5	6	16	616
chr5	6	17	756
chr5	6	18	1335
chr5	6	19	1611
chr5	6	20	2905
chr5	6	21	3542
chr5	6	22	4944
chr5	6	23	6322
chr5	6	24	12079
chr5	6	25	14846
chr5	6	26	36304
chr5	6	27	42192
chr5	6	28	40295
chr5	6	29	17008
chr5	6	30	8123
chr5	6	31	7182
chr5	6	32	8877
chr5	6	33	8595
chr5	6	34	3922
chr5	6	35	1526
chr5	6	36	394
chr5	6	37	98
chr5	6	38	30
chr5	6	39	11
chr5	6	40	6
chr5	6	41	3
chr5	6	42	2
chr5	6	43	4
chr5	6	44	2
chr5	6	49	1
chr5	6	53	1
chr6	6	7	190
chr6	6	8	244
chr6	6	9	227
chr6	6	10	283
chr6	6	11	329
chr6	6	12	382
chr6	6	13	406
chr6	6	14	365
chr6	6	15	477
chr6	6	16	584
chr6	6	17	764
chr6	6	18	1278
chr6	6	19	1572
chr6	6	20	2831
chr6	6	21	3338
chr6	6	22	4902
chr6	6	23	5923
chr6	6	24	11357
chr6	6	25	14073
chr6	6	26	34776
chr6	6	27	40284
chr6	6	28	38474
chr6	6	29	16347
chr6	6	30	7768
chr6	6	31	7102
chr6	6	32	8509
chr6	6	33	8112
chr6	6	34	3900
chr6	6	35	1371
chr6	6	36	411
chr6	6	37	108
chr6	6	38	33
chr6	6	39	27
chr6	6	40	8
chr6	6	41	2
chr6	6	42	3
chr6	6	43	3
chr6	6	44	3
chr6	6	45	1
chr6	6	56	1
chr7	6	7	141
chr7	6	8	192
chr7	6	9	212
chr7	6	10	242
chr7	6	11	278
chr7	6	12	280
chr7	6	13	353
chr7	6	14	372
chr7	6	15	477
chr7	6	16	541
chr7	6	17	683
chr7	6	18	1116
chr7	6	19	1423
chr7	6	20	2507
chr7	6	21	2882
chr7	6	22	4330
chr7	6	23	5220
chr7	6	24	10355
chr7	6	25	12641
chr7	6	26	31203
chr7	6	27	35879
chr7	6	28	33514
chr7	6	29	14297
chr7	6	30	7057
chr7	6	31	6340
chr7	6	32	7711
chr7	6	33	7189
chr7	6	34	3424
chr7	6	35	1260
chr7	6	36	359
