##Chromosome	MAQP	Length	ReadsNums
chr1	6	7	287
chr1	6	8	321
chr1	6	9	333
chr1	6	10	356
chr1	6	11	329
chr1	6	12	366
chr1	6	13	343
chr1	6	14	353
chr1	6	15	382
chr1	6	16	381
chr1	6	17	391
chr1	6	18	371
chr1	6	19	398
chr1	6	20	390
chr1	6	21	408
chr1	6	22	439
chr1	6	23	359
chr1	6	24	415
chr1	6	25	400
chr1	6	26	440
chr1	6	27	419
chr1	6	28	434
chr1	6	29	408
chr1	6	30	414
chr1	6	31	435
chr1	6	32	396
chr1	6	33	440
chr1	6	34	528
chr1	6	35	508
chr1	6	36	551
chr1	6	37	741
chr1	6	38	745
chr1	6	39	704
chr1	6	40	813
chr1	6	41	713
chr1	6	42	715
chr1	6	43	706
chr1	6	44	878
chr1	6	45	773
chr1	6	46	651
chr1	6	47	615
chr1	6	48	379
chr1	6	49	218
chr1	6	50	110
chr1	6	51	62
chr1	6	52	40
chr1	6	53	45
chr1	6	54	37
chr1	6	55	35
chr1	6	56	26
chr1	6	57	30
chr1	6	58	17
chr1	6	59	15
chr1	6	60	10
chr1	6	61	5
chr1	6	62	2
chr1	6	63	1
chr1	6	64	6
chr2	6	7	342
chr2	6	8	415
chr2	6	9	422
chr2	6	10	435
chr2	6	11	500
chr2	6	12	492
chr2	6	13	544
chr2	6	14	526
chr2	6	15	527
chr2	6	16	533
chr2	6	17	546
chr2	6	18	480
chr2	6	19	534
chr2	6	20	544
chr2	6	21	498
chr2	6	22	554
chr2	6	23	542
chr2	6	24	512
chr2	6	25	552
chr2	6	26	504
chr2	6	27	516
chr2	6	28	462
chr2	6	29	515
chr2	6	30	470
chr2	6	31	583
chr2	6	32	545
chr2	6	33	613
chr2	6	34	539
chr2	6	35	646
chr2	6	36	662
chr2	6	37	642
chr2	6	38	803
chr2	6	39	838
chr2	6	40	779
chr2	6	41	860
chr2	6	42	885
chr2	6	43	976
chr2	6	44	970
chr2	6	45	976
chr2	6	46	891
chr2	6	47	777
chr2	6	48	455
chr2	6	49	282
chr2	6	50	141
chr2	6	51	50
chr2	6	52	55
chr2	6	53	37
chr2	6	54	32
chr2	6	55	31
chr2	6	56	34
chr2	6	57	30
chr2	6	58	18
chr2	6	59	14
chr2	6	60	13
chr2	6	61	4
chr2	6	62	5
chr2	6	63	3
chr3	6	7	269
chr3	6	8	280
chr3	6	9	335
chr3	6	10	314
chr3	6	11	322
chr3	6	12	328
chr3	6	13	357
chr3	6	14	336
chr3	6	15	338
chr3	6	16	347
chr3	6	17	363
chr3	6	18	313
chr3	6	19	367
chr3	6	20	369
chr3	6	21	372
chr3	6	22	365
chr3	6	23	361
chr3	6	24	346
chr3	6	25	340
chr3	6	26	295
chr3	6	27	341
chr3	6	28	402
chr3	6	29	380
chr3	6	30	366
chr3	6	31	318
chr3	6	32	326
chr3	6	33	369
chr3	6	34	346
chr3	6	35	440
chr3	6	36	455
chr3	6	37	509
chr3	6	38	486
chr3	6	39	447
chr3	6	40	504
chr3	6	41	516
chr3	6	42	401
chr3	6	43	595
chr3	6	44	693
chr3	6	45	840
chr3	6	46	564
chr3	6	47	541
chr3	6	48	332
chr3	6	49	211
chr3	6	50	107
chr3	6	51	35
chr3	6	52	47
chr3	6	53	29
chr3	6	54	31
chr3	6	55	27
chr3	6	56	22
chr3	6	57	23
chr3	6	58	12
chr3	6	59	12
chr3	6	60	14
chr3	6	61	3
chr3	6	62	2
chr3	6	63	2
chr4	6	7	90
chr4	6	8	163
chr4	6	9	168
chr4	6	10	173
chr4	6	11	205
chr4	6	12	230
chr4	6	13	213
chr4	6	14	209
chr4	6	15	220
chr4	6	16	194
chr4	6	17	182
chr4	6	18	188
chr4	6	19	147
chr4	6	20	151
chr4	6	21	161
chr4	6	22	149
chr4	6	23	131
chr4	6	24	129
chr4	6	25	105
chr4	6	26	133
chr4	6	27	136
chr4	6	28	127
chr4	6	29	107
chr4	6	30	119
chr4	6	31	91
chr4	6	32	95
chr4	6	33	111
chr4	6	34	104
chr4	6	35	114
chr4	6	36	156
chr4	6	37	158
chr4	6	38	179
chr4	6	39	175
chr4	6	40	112
chr4	6	41	134
chr4	6	42	123
chr4	6	43	110
chr4	6	44	179
chr4	6	45	194
chr4	6	46	115
chr4	6	47	105
chr4	6	48	95
chr4	6	49	48
chr4	6	50	42
chr4	6	51	16
chr4	6	52	20
chr4	6	53	15
chr4	6	54	15
chr4	6	55	17
chr4	6	56	15
chr4	6	57	17
chr4	6	58	6
chr4	6	59	6
chr4	6	60	3
chr4	6	61	3
chr4	6	62	2
chr4	6	65	1
chr5	6	7	204
chr5	6	8	245
chr5	6	9	272
chr5	6	10	273
chr5	6	11	290
chr5	6	12	345
chr5	6	13	335
chr5	6	14	311
chr5	6	15	300
chr5	6	16	326
chr5	6	17	367
chr5	6	18	327
chr5	6	19	330
chr5	6	20	354
chr5	6	21	370
chr5	6	22	403
chr5	6	23	406
chr5	6	24	390
chr5	6	25	416
chr5	6	26	387
chr5	6	27	373
chr5	6	28	376
chr5	6	29	380
chr5	6	30	361
chr5	6	31	333
chr5	6	32	347
chr5	6	33	322
chr5	6	34	381
chr5	6	35	379
chr5	6	36	455
chr5	6	37	447
chr5	6	38	534
chr5	6	39	506
chr5	6	40	546
chr5	6	41	577
chr5	6	42	606
chr5	6	43	573
chr5	6	44	796
chr5	6	45	774
chr5	6	46	693
chr5	6	47	598
chr5	6	48	347
chr5	6	49	207
chr5	6	50	102
chr5	6	51	40
chr5	6	52	39
chr5	6	53	23
chr5	6	54	18
chr5	6	55	25
chr5	6	56	19
chr5	6	57	16
chr5	6	58	17
chr5	6	59	9
chr5	6	60	3
chr5	6	61	2
chr5	6	62	2
chr5	6	64	2
chr6	6	7	223
chr6	6	8	201
chr6	6	9	236
chr6	6	10	253
chr6	6	11	281
chr6	6	12	306
chr6	6	13	304
chr6	6	14	299
chr6	6	15	326
chr6	6	16	343
chr6	6	17	343
chr6	6	18	362
chr6	6	19	337
chr6	6	20	330
chr6	6	21	355
chr6	6	22	335
chr6	6	23	330
chr6	6	24	328
chr6	6	25	327
chr6	6	26	289
chr6	6	27	296
chr6	6	28	283
chr6	6	29	293
chr6	6	30	316
chr6	6	31	285
chr6	6	32	314
chr6	6	33	288
chr6	6	34	376
chr6	6	35	417
chr6	6	36	400
chr6	6	37	438
chr6	6	38	550
chr6	6	39	494
chr6	6	40	479
chr6	6	41	515
chr6	6	42	458
chr6	6	43	522
chr6	6	44	607
chr6	6	45	716
chr6	6	46	545
chr6	6	47	488
chr6	6	48	344
chr6	6	49	158
chr6	6	50	90
chr6	6	51	53
chr6	6	52	34
chr6	6	53	18
chr6	6	54	23
chr6	6	55	25
chr6	6	56	16
chr6	6	57	13
chr6	6	58	8
chr6	6	59	13
chr6	6	60	10
chr6	6	61	3
chr6	6	63	1
chr6	6	65	1
chr7	6	7	166
chr7	6	8	196
chr7	6	9	213
chr7	6	10	180
chr7	6	11	228
chr7	6	12	204
chr7	6	13	214
chr7	6	14	233
chr7	6	15	271
chr7	6	16	242
chr7	6	17	247
chr7	6	18	232
chr7	6	19	237
chr7	6	20	259
chr7	6	21	244
chr7	6	22	225
chr7	6	23	240
chr7	6	24	218
chr7	6	25	241
chr7	6	26	239
chr7	6	27	230
chr7	6	28	196
chr7	6	29	274
chr7	6	30	203
chr7	6	31	252
chr7	6	32	198
chr7	6	33	262
chr7	6	34	260
chr7	6	35	248
chr7	6	36	243
chr7	6	37	350
chr7	6	38	343
chr7	6	39	279
chr7	6	40	395
chr7	6	41	374
chr7	6	42	347
chr7	6	43	387
chr7	6	44	371
chr7	6	45	499
chr7	6	46	338
chr7	6	47	336
chr7	6	48	235
chr7	6	49	118
chr7	6	50	72
chr7	6	51	44
chr7	6	52	21
chr7	6	53	19
chr7	6	54	20
chr7	6	55	18
chr7	6	56	17
chr7	6	57	16
chr7	6	58	17
chr7	6	59	9
chr7	6	60	7
chr7	6	61	5
chr7	6	62	1
chr7	6	64	1
chr7	6	66	1
chr8	6	7	143
chr8	6	8	171
chr8	6	9	162
chr8	6	10	157
chr8	6	11	177
chr8	6	12	178
chr8	6	13	185
chr8	6	14	181
chr8	6	15	198
chr8	6	16	220
chr8	6	17	233
chr8	6	18	219
chr8	6	19	213
chr8	6	20	201
chr8	6	21	207
chr8	6	22	190
chr8	6	23	203
chr8	6	24	201
chr8	6	25	219
chr8	6	26	197
chr8	6	27	215
chr8	6	28	215
chr8	6	29	210
chr8	6	30	175
chr8	6	31	196
chr8	6	32	211
chr8	6	33	194
chr8	6	34	242
chr8	6	35	210
chr8	6	36	255
chr8	6	37	303
chr8	6	38	294
chr8	6	39	307
chr8	6	40	379
chr8	6	41	348
chr8	6	42	323
chr8	6	43	386
chr8	6	44	476
chr8	6	45	400
chr8	6	46	479
chr8	6	47	347
chr8	6	48	203
chr8	6	49	132
chr8	6	50	56
chr8	6	51	32
chr8	6	52	26
chr8	6	53	19
chr8	6	54	8
chr8	6	55	21
chr8	6	56	13
chr8	6	57	7
chr8	6	58	14
chr8	6	59	12
chr8	6	60	4
chr8	6	61	5
chr8	6	62	2
chr8	6	63	3
chr9	6	7	165
chr9	6	8	171
chr9	6	9	205
chr9	6	10	206
chr9	6	11	167
chr9	6	12	199
chr9	6	13	209
chr9	6	14	201
chr9	6	15	207
chr9	6	16	203
chr9	6	17	228
chr9	6	18	203
chr9	6	19	201
chr9	6	20	190
chr9	6	21	213
chr9	6	22	213
chr9	6	23	200
chr9	6	24	235
chr9	6	25	215
chr9	6	26	207
chr9	6	27	207
chr9	6	28	219
chr9	6	29	220
chr9	6	30	260
chr9	6	31	205
chr9	6	32	204
chr9	6	33	167
chr9	6	34	224
chr9	6	35	261
chr9	6	36	216
chr9	6	37	290
chr9	6	38	329
chr9	6	39	335
