序号	检测项目	chr	start	end
8	22q11.2 deletion 综合征 	chr22	8300000	12200000
9	1p36 deletion 综合征 	chr1	0	28000000
10	2q33.1 deletion s综合征 	chr2	197400000	203300000
11	Cri du Chat 综合征 	chr5	0	46100000
12	Langer Giedion 综合征 	chr8	45600000	146364022
13	Angelman syndrome 	chr15	20700000	33600000
14	Prader Willi 综合征 	chr15	20700000	33600000
15	1p部分单体综合征 	chr1	0	125000000
16	1q21→q32单体综合征 	chr1	142600000	214500000
17	1q42→qter单体综合征 	chr1	224100000	249250621
18	1q23→qter三体综合征 	chr1	156500000	249250621
19	2p部分单体综合征 	chr2	0	93300000
20	2p部分三体综合征 	chr2	0	93300000
21	2q部分单体综合征 	chr2	93300000	243199373
22	2q部分三体综合征 	chr2	93300000	243199373
23	3p11→p21单体综合征 	chr3	87200000	129200000
24	3p25→pter单体综合征 	chr3	0	16400000
25	3p部分三体综合征 	chr3	0	91000000
26	3q部分单体综合征 	chr3	91000000	198022430
27	3q部分三体综合征 	chr3	91000000	198022430
28	3p部分单体并3q部分三体综合征 	chr3	0	198022430
29	4p部分单体综合征 	chr4	0	50400000
30	4p部分三体综合征 	chr4	0	50400000
31	4q21→q31单体综合征 	chr4	76300000	155600000
32	4q31→qter单体综合征 	chr4	139500000	191154276
33	4q部分三体综合征 	chr4	50400000	191154276
34	4p部分单体并4q部分三体综合征	chr4	0	191154276
35	5p部分三体综合征 	chr5	0	48400000
36	5q部分单体综合征 	chr5	48400000	180915260
37	5q部分三体综合征 	chr5	48400000	180915260
38	6p部分三体综合征 	chr6	0	61000000
39	6q部分单体综合征 	chr6	61000000	171115067
40	6q部分三体综合征 	chr6	61000000	171115067
41	7号三体综合征 	chr7	0	159138663
42	7p部分单体综合征 	chr7	0	59900000
43	7p部分三体综合征 	chr7	59900000	159138663
44	7q11→q31单体综合征 	chr7	59900000	127100000
45	7q32→qter单体综合征 	chr7	129200000	159138663
46	7q21→q31三体综合征 	chr7	77500000	127100000
47	7q32→qter三体综合征 	chr7	127100000	159138663
48	8号三体综合征 	chr8	0	146364022
49	8p部分单体综合征 	chr8	0	45600000
50	8p部分三体综合征 	chr8	0	45600000
51	8q部分三体综合征 	chr8	45600000	146364022
52	9号三体综合征 	chr9	0	141213431
53	9p部分单体综合征 	chr9	0	49000000
54	9p部分三体综合征 	chr9	0	49000000
55	9q部分单体综合征 	chr9	49000000	141213431
56	9q部分三体综合征 	chr9	49000000	141213431
57	10p部分单体综合征 	chr10	0	40200000
58	10p部分三体综合征 	chr10	0	40200000
59	10q部分单体综合征 	chr10	40200000	135534747
60	10q部分三体综合征 	chr10	40200000	135534747
61	11p部分单体综合征 	chr11	0	53700000
62	11p部分三体综合征 	chr11	0	53700000
63	11q部分单体综合征 	chr11	53700000	135006516
64	11q部分三体综合征 	chr11	53700000	135006516
65	12p部分单体综合征 	chr12	0	35800000
66	12p部分三体综合征 	chr12	0	35800000
67	12q部分三体综合征	chr12	35800000	133851895
68	13q14单体综合征	chr13	40100000	55300000
69	13q21→qter单体综合征	chr13	55300000	115169878
70	13cen→q14三体综合征	chr13	17900000	55300000
71	13q21→qter三体综合征	chr13	55300000	115169878
72	14三体综合征	chr14	0	107349540
73	14部分三体综合征	chr14	0	107349540
74	14q24→qter三体综合征	chr14	67900000	79300000
75	超数倒位重复15综合征	chr15	0	102531392
76	15q22→qter三体综合征	chr15	59100000	102531392
77	16p部分三体综合征	chr16	0	36600000
78	16q部分单体综合征	chr16	36600000	90354753
79	16q部分三体综合征	chr16	36600000	90354753
80	17p13→pter单体综合征(Miller-Dieker)综合征	chr17	0	10700000
81	17p部分三体综合征	chr17	0	24000000
82	17pter→q21三体综合征	chr17	0	50200000
83	18p部分单体综合征	chr18	0	17200000
84	18p部分四体综合征	chr18	0	17200000
85	18pter→q12三体综合征	chr18	0	43500000
86	18q21→qter单体综合征	chr18	43500000	78077248
87	18q12→qter三体综合征	chr18	25000000	78077248
88	19三体综合征	chr19	0	59128983
89	19q13→qter三体综合征	chr19	32400000	59128983
90	20三体综合征	chr20	0	63025520
91	20p部分单体综合征	chr20	0	27500000
92	20p三体综合征	chr20	0	27500000
93	21单体综合征	chr21	0	48129895
94	21部分单体综合征	chr21	0	48129895
95	22单体综合征	chr22	0	51304566
96	22三体综合征	chr22	0	51304566
97	22pter→q11单体综合征	chr22	0	25900000
101	10q26→qter单体综合征	chr10	119100000	135534747
98	 22pter→q13三体综合征	chr22	0	51304566
99	22p四体综合征	chr22	0	14700000
100	22q11.2常报CNV	chr22	17900001	21820000
100	22q11.2常报CNV	chr22	18620001	21820000
100	22q11.2常报CNV	chr22	18880001	21820000
100	22q11.2常报CNV	chr22	18580001	21460000
100	22q11.2常报CNV	chr22	22940001	25080000
101	Chromosome 1p31 duplication syndrome(164750)	chr1	61265672	68965683
102	Chromosome 1q41-q42 deletion syndrome(612530)	chr1	214573343	236563300
104	Chromosome 2p16.1-p15 deletion syndrome(612513)	chr2	54927137	64127134
105	Chromosome 2q31.1 duplication syndrome(613681)	chr2	169756510	177964728
106	Split-hand/foot malformation 5(606708)	chr2	209064724	230964716
107	Holoprosencephaly 1(236100)	chr21	42571927	48119895
108	Holoprosencephaly 6(605934)	chr2	230964716	243100992
109	Chromosome 3q13.31 deletion syndrome(615433)	chr3	113418847	117318847
110	Chromosome 3q22-q24 deletion syndrome(220200)	chr3	129218843	148917787
111	Chromosome 3q29 deletion syndrome(609425)	chr3	192317789	197962430
112	Chromosome 3q29 duplication syndrome(611936)	chr3	192317789	197962430
