result00	result0	containing_gene	pathogenic_analysis	result1	result_desc	manifestation	advice	reference
AZFb缺失	AZFb缺失	RBMY、CDY2等基因	致病性	样本中Y染色体 AZFb 缺失，缺失大小 5.95Mb，缺失范围：chrY:20118045-26065197。	本次检测，在受检者中检出AZFb缺失。已知该缺失与男性不育相关，主要候选基因有RBMY1A1和HSFY等。人类RBMY1A1基因仅在睾丸内特异性表达，参与精母细胞内RNA的合成、加工和翻译，在精子发生过程的初期有重要的调节作用<sup style="font-size:8px;">[1]</sup>。HSFY基因在睾丸支持细胞与生精细胞中特异表达，可能通过调节热休克蛋白的表达而起作用，在精子的发生过程中具有调节作用<sup style="font-size:8px;">[2]</sup>。	AZFb本身的微缺失也会导致成熟停滞，AZFb缺失导致减数分裂后生精上皮细胞缺乏，精子发生过程阻滞于初级精母细胞阶段，睾丸内仅见精原细胞和初级精母细胞，无精子生成。	绝大多数AZFb缺失男性患者不能自然生育，患者可以通过供精或其他方式获得后代，请医生结合临床进行评估。	[1] Abid S, Sagare-Patil V, Gokral J, Modi D. Cellular ontogeny of RBMY during human spermatogenesis and its role in sperm motility. J Biosci,  2013, 38:85-92.;[2] Peter J Stahl, Anna N Mielnik, et al. Deletion or underexpression of the Y-chromosome genes CDY2 and HSFY is associated with maturation arrest in American men with nonobstructive azoospermia. Asian J Androl, 2012, 14(5):676–682.
AZFc缺失	AZFc缺失	BPY2、DAZ、CDY1等基因	致病性	样本中Y染色体AZFc缺失，缺失大小3.50Mb，缺失范围：chrY:24650000-28130000。	本次检测，在受检者中检出AZFc缺失。已知该缺失与男性不育相关，主要候选基因有DAZ、CDY等。DAZ 基因编码的睾丸特异性 RNA 结合蛋白可能参与生精功能转录子的翻译调控，是激活精子生成和保持种族Y染色体功能的重要基因<sup style=""font-size:8px;"">[1]</sup>。DAZ家族蛋白编码基因的缺失可严重损害精子发生。CDY基因在成熟精子细胞中表达，其亚型在精子发生过程中的不同时间表现出不同的功能作用<sup style=""font-size:8px;"">[2]</sup>，CDY1基因在睾丸特异性表达，其表达产物可在精子发生过程中修饰DNA 和常染色体蛋白的表达<sup style=""font-size:8px;"">[3]</sup>。	AZFc缺失患者临床表现为不同程度的生精障碍包括无精子症、严重少精子症，也有可能表现为精子计数正常但形态异常或者精子生成减少等不同症状。	携带AZFc缺失的男性可以尝试通过睾丸穿刺等技术获得精子，进而受孕，但也有可能将遗传缺陷传递给下一代男性，导致男性子代不育。AZFc缺失的男性精子产量逐渐下降，因此对AZFc缺失携带者的后代成年后，进行早期预防性的精子冷冻保存是保存生育能力的一个可行选择。请医生结合临床进行分析。	[1] Fu XF, et al. DAZ Family Proteins, Key Players for Germ Cell Development. Int J Biol Sci, 2015, 11(10): p. 1226-1235.;[2] Sandra E, Kleiman, Leah Yogev, et al. Members of the CDY family have different expression patterns: CDY1 transcripts have the best correlation with complete spermatogenesis. Hum Genet, 2003, 113 : 486–492.;[3] Sandra E, Kleiman, Ayala Lagziel, et al. Expression of CDY1 may identify complete spermatogenesis. Fertillty and sterility, 2001.
b1/b2缺失	b1/b2缺失	PRY2、RBMY1F等基因	临床意义未明	样本中Y染色体b1/b2缺失，缺失大小580Kb，缺失范围：chrY:24070000-24650000。	本次检测，在受检者中检出b1/b2缺失。b1/b2缺失主要候选基因有PRY 、PRY2、RBMY1F和RBMY1J。人类RBMY1A1基因仅在睾丸内特异性表达，参与精母细胞内RNA的合成、加工和翻译，在精子发生过程的初期有重要的调节作用<sup style=""font-size:8px;"">[1]</sup>。PRY和PRY2基因在睾丸中特异性表达，它编码与蛋白酪氨酸磷酸酶非受体13型相似的蛋白。	PRY和PRY2基因参与调节细胞凋亡以及去除异常精子，有文献报道PRY和PRY2基因缺失会导致减数分裂阻滞<sup style=""font-size:8px;"">[2]</sup>。RBMY1F 和RBMY1J 的缺失与无精子症相关。目前少文献报道，该区域缺失与男性无精子症有关<sup style=""font-size:8px;"">[3]</sup>。	目前研究表明，b1/b2缺失临床意义尚不清晰，请医生结合临床进行分析。	[1] Abid S, Sagare-Patil V, Gokral J, Modi D. Cellular ontogeny of RBMY during human spermatogenesis and its role in sperm motility. J Biosci, 2013, 38:85-92.;[2] Stacy Colaco and Deepak Modi. Genetics of the human Y chromosome and its association with male infertility. Colaco and Modi Reproductive Biology and Endocrinology, 2018, 16:14.;[3] Halder A, Kumar P, Jain M, Iyer VK. Copy number variations in testicular maturation arrest. Andrology, 2017, 5 (3), 460-472.
chrY:24240000-24640000	b1/b2缺失	PRY2、RBMY1F等基因	临床意义未明	样本中Y染色体b1/b2缺失，缺失大小400Kb，缺失范围：chrY:24240000-24640000。	本次检测，在受检者中检出b1/b2缺失。b1/b2缺失主要候选基因有PRY 、PRY2、RBMY1F和RBMY1J。人类RBMY1A1基因仅在睾丸内特异性表达，参与精母细胞内RNA的合成、加工和翻译，在精子发生过程的初期有重要的调节作用<sup style=""font-size:8px;"">[1]</sup>。PRY和PRY2基因在睾丸中特异性表达，它编码与蛋白酪氨酸磷酸酶非受体13型相似的蛋白。	PRY和PRY2基因参与调节细胞凋亡以及去除异常精子，有文献报道PRY和PRY2基因缺失会导致减数分裂阻滞<sup style=""font-size:8px;"">[2]</sup>。RBMY1F 和RBMY1J 的缺失与无精子症相关。目前少文献报道，该区域缺失与男性无精子症有关<sup style=""font-size:8px;"">[3]</sup>。	目前研究表明，b1/b2缺失临床意义尚不清晰，请医生结合临床进行分析。	[1] Abid S, Sagare-Patil V, Gokral J, Modi D. Cellular ontogeny of RBMY during human spermatogenesis and its role in sperm motility. J Biosci, 2013, 38:85-92.;[2] Stacy Colaco and Deepak Modi. Genetics of the human Y chromosome and its association with male infertility. Colaco and Modi Reproductive Biology and Endocrinology, 2018, 16:14.;[3] Halder A, Kumar P, Jain M, Iyer VK. Copy number variations in testicular maturation arrest. Andrology, 2017, 5 (3), 460-472.
b1/b3缺失	b1/b3缺失	DAZ1、DAZ2等基因	临床意义未明	样本中Y染色体b1/b3 缺失，缺失大小1.60Mb ，缺失范围：chrY:24070000-25680000。	本次检测，在受检者中检出b1/b3缺失。b1/b3缺失是AZFc区部分缺失亚型，主要候选基因有BPY2、DAZ1、DAZ2等。BPY2基因在睾丸中特异性表达，并且与精子的发生密切相关，它的缺失可能会引起男性少精或者无精<sup style=""font-size:8px;"">[1]</sup>。DAZ1、DAZ2基因缺失与生精障碍有一定的关联。	DAZ1/DAZ2的缺失被认为是严重的少精子症、不完全性成熟停滞和睾丸精子发生表型的原因。由于b1/b3缺失频率较低，目前对精子发生的影响尚不清楚<sup style=""font-size:8px;"">[2]</sup>，但是Shinnosuke Kuroda报道了一例b1/b3缺失伴先天性双侧输精管缺失，但精子发生几乎正常的病例<sup style=""font-size:8px;"">[3]</sup>。	目前研究表明，b1/b3缺失发生频率较低，其临床意义尚不清晰，请医生结合临床进行分析。	[1] Tse JY, Wong EY, et al. Specific expression of VCY2 in human male germ cells and its involvement in the pathogenesis of male infertility. Biol Reprod, 2003, 69:746-751.;[2] Repping S, van Daalen SK, et al. A family of human Y chromosomes has dispersed throughout northern Eurasia despite a 1.8-Mb deletion in the azoospermia factor c region. Genomics, 2004, Jun; 83(6):1046-52.;[3] Shinnosuke Kuroda, Kimitsugu Usui, et al. An infertile patient with Y chromosome b1/b3 deletion presenting with congenital bilateral absence of the vas deferens with normal spermatogenesis. Clin Exp Reprod Med, 2018, Mar; 45(1): 48–51.
b2/b3缺失	b2/b3缺失	DAZ3、DAZ4等基因	临床意义未明	样本中Y染色体b2/b3缺失，缺失大小1.80Mb，缺失范围：chrY:24800000-24890000；chrY:25680000-27430000。	本次检测，在受检者中检出b2/b3缺失。b2/b3缺失是AZFc区部分缺失亚型，主要候选基因有DAZ、CDY1等。DAZ基因在AZFc区存在高度同源又互不相同的4个拷贝子（DAZ1、DAZ2、DAZ3、DAZ4），b2/b3缺失使DAZ基因丢失了2个拷贝DAZ3和DAZ4。CDY1基因在睾丸中特异性表达，其表达产物可在精子发生过程中修饰DNA <sup style=""font-size:8px;"">[1]</sup>。	Wu<sup style=""font-size:8px;"">[2]</sup>、Sandeep Kumar Bansal<sup style=""font-size:8px;"">[3]</sup>等人研究统计表明Y染色体b2/b3缺失增加了不孕症的风险，但可能仅在蒙古人群和东亚地区有意义。	目前研究表明，b2/b3缺失的生精表型在不同人群中可能存在差异，请医生结合临床进行分析。	[1] Ghorbel M, Baklouti-Gargouri S, Keskes R, et al. Deletion of CDY1b copy of Y chromosome CDY1 gene is a risk factor of male infertility in Tunisian men. Gene, 2014, 548:251-255.;[2] Wu B, Lu NX, Xia YK, et al. A frequent Y chromosome b2/b3 subdeletion shows strong association with male infertility in Han-Chinese population. Hum Reprod, 2007, 22:1107-1113.;[3] Sandeep Kumar Bansal, Gopal Gupta, Singh Rajender. Y chromosome b2/b3 deletions and male infertility: A comprehensive meta-analysis, trial sequential analysis and systematic review. Mutation Research, 2016, 78–90.
gr/gr缺失	gr/gr缺失	DAZ1、DAZ2等基因	临床意义未明	样本中Y染色体gr/gr缺失，缺失大小1.60Mb，缺失范围：chrY:24890000-26520000。	本次检测，在受检者中检出gr/gr缺失。gr/gr缺失是AZFc区部分缺失亚型，主要候选基因有DAZ、BPY2等。DAZ基因在AZFc区存在高度同源又互不相同的4个拷贝子（DAZ1、DAZ2、DAZ3、DAZ4），gr/gr缺失使DAZ基因丢失了2个拷贝DAZ1和DAZ2，与生精障碍有一定的关联。BPY2基因在睾丸中特异性表达，并且与精子的发生密切相关，它的缺失可能会引起男性少精或者无精<sup style=""font-size:8px;"">[1]</sup>。	gr/gr缺失与表型的关系及发生的频率在不同种族中存在差异，生精情况从无精子症到正常精子量表现不等，DAZ1/DAZ2的缺失被认为是严重的少精子症，不完全性精子成熟停滞和不完全性睾丸精子发生表型的原因。研究表明，gr/gr缺失可能是男性不育风险因子之一，但在中国部分正常人群中，也可检测到gr/gr缺失<sup style=""font-size:8px;"">[2]</sup>。	目前研究表明，gr/gr缺失携带者表型差异很大，其临床意义备受争议，gr/gr缺失的表型表达可能在不同种族群体中存在差异。此外，这种缺失将被传递给男性后代。请医生结合临床进行分析。	[1] Tse JY, Wong EY, Cheung AN, et al. Specific expression of VCY2 in human male germ cells and its involvement in the pathogenesis of male infertility. Biol Reprod, 2003, 69:746-751.;[2] Yang Y, Ma M, Li L, et al. Differential effect of specific gr/gr deletion subtypes on spermatogenesis in the Chinese Han population. Int J Androl, 2010, 33:745-754.
AZFc重复	AZFc重复	BPY2、CDY1等基因	临床意义未明	样本中Y染色体AZFc重复，重复大小3.50Mb，重复范围：chrY:24650000-28130000。	本次检测，在受检者中检出AZFc重复。该区域主要候选基因有DAZ 、BPY2 和CDY1等，它们都是多拷贝基因家族。DAZ基因是激活精子生成和保持种族Y 染色体功能的重要基因；BPY基因编码的蛋白质与泛素蛋白连接酶E3A相互作用，可能参与男性生殖细胞发育和男性不育症；CDY1基因在睾丸特异性表达，其表达产物可在精子发生过程中修饰DNA 和常染色体蛋白的表达。	AZFc区域重复的功能意义仍然存在争议，在汉族人民中DAZ和BPY2基因拷贝数异常与睾丸生精障碍有密切的关系<sup style=""font-size:8px;"">[1]</sup>。有研究表明部分AZFc重复而不是缺失是中国彝族男性不育的危险因素<sup style=""font-size:8px;"">[2]</sup>，也有研究认为AZFc重复可能是良性的<sup style=""font-size:8px;"">[3]</sup>，其有待进一步研究。	请医生结合临床综合分析。	[1] Lu C, et al. Gene copy number alterations in the azoospermia-associated AZFc region and their effect on spermatogenic impairment. Mol Hum Reprod, 2014, 20(9): p. 836-43.;[2] Ye JJ, Ma L, Yang LJ, et al. Partial AZFc duplications not deletions are associated with male infertility in the Yi population of Yunnan Province, China. J Zhejiang Univ Sci B. 2013, Sep.14(9): 807-15.;[3] Hsu HK, Su MT, Chen M. et al. Two Y chromosomes with duplication of the distal long arm including the entire AZFc region. Gene, 2014, Feb 25;536(2):444-8.
b2/b3重复	b2/b3重复	DAZ3、DAZ4等基因	临床意义未明	样本中Y染色体b2/b3重复，重复大小1.80Mb，重复范围：chrY:24800000-24890000;chrY:25680000-27430000。	本次检测，在受检者中检出b2/b3重复。该区域主要候选基因有DAZ、CDY1等。DAZ基因是AZFc区第一个被分离出来的生精障碍的候选基因，其编码的睾丸特异性RNA 结合蛋白可能参与生精功能转录子的翻译调控，是激活精子生成和保持种族Y染色体功能的重要基因；CDY1，在睾丸特异性表达，其表达产物可在精子发生过程中修饰DNA；BPY基因编码的蛋白质与泛素蛋白连接酶E3A相互作用，可能参与男性生殖细胞发育和男性不育症。	b2/b3重复在不同人群中的表现存在差异。在汉族人中，由于这些基因的剂量敏感性，基因过表达可导致男性生精异常<sup style=""font-size:8px;"">[1]</sup>。	请医生结合临床综合分析。	[1] Yi-Wen Lin, Lea Chia-Ling Hsu, Pao-Lin Kuo, et al. Partial Duplication at AZFc on the Y Chromosome Is a Risk Factor for Impaired Spermatogenesis in Han Chinese in Taiwan. HUMAN MUTATION , 2007, 28(5), 486-494.
gr/gr重复	gr/gr重复	DAZ1、DAZ2等基因	临床意义未明	样本中Y染色体gr/gr重复，重复大小1.60Mb，重复范围：chrY:24890000-26520000。	本次检测，在受检者中检出gr/gr重复。该区域候选基因有BPY2、DAZ1、DAZ2。BPY2在睾丸中特异性表达，并且与精子的发生密切相关。DAZ 基因编码的睾丸特异性 RNA 结合蛋白可能参与生精功能转录子的翻译调控，是激活精子生成和保持种族Y染色体功能的重要基因。	在汉族人民中DAZ和BPY2基因拷贝数异常与睾丸生精障碍有密切的关系<sup style=""font-size:8px;"">[1]</sup>，gr/gr重复可能是男性不育风险因子之一。	请医生结合临床进行分析。	[1] Lu C, et al. Gene copy number alterations in the azoospermia-associated AZFc region and their effect on spermatogenic impairment. Mol Hum Reprod, 2014. 20(9): p. 836-843.
