tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	110806262	0	live	LOC110806262		solute carrier family 6 member 4 gene promoter	5-HTT promoter|5-HTTLPR promoter polymorphism region|SLC6A4 promoter|serotonin transporter gene promoter	17q11.2	17	NC_000017.11	30235481	30237521	plus	0		
9606	Homo sapiens	109580095	0	live	HBB-LCR	LCRB, beta-DCR, beta-LAR	beta-globin locus control region	LCR-beta|beta Glb-LCR|beta-globin 5' regulatory region|beta-globin LCR|beta-globin dominant control region|beta-globin locus-activating region|globin locus activation region (LAR)|locus control region, beta	11p15.4	11	NC_000011.10	5269925	5304186	plus	0	152424	
9606	Homo sapiens	108684022	0	live	FRAXA	FMR1	fragile site, folic acid type, rare, fra(X)(q27.3) A (macroorchidism, mental retardation)	FMR1 repeat instability region|FRAXA repeat instability region|fragile X mental retardation 1 repeat instability region|fragile site, folic acid type, rare, fra(X)(q27.3) A (macroorchidism, mental retardation) repeat instability region	Xq27.3	X	NC_000023.11	147911979	147912111	plus	0		
9606	Homo sapiens	109504728	0	live	LOC109504728		chromosome 9 open reading frame 72 repeat instability region	ALS/FTLD repeat instability region|C9orf72 repeat instability region|frontotemporal lobar degeneration with amyotrophic lateral sclerosis repeat instability region	9p21.2	9	NC_000009.12	27573485	27573546	plus	0		
9606	Homo sapiens	110806263	0	live	LOC110806263		TERT 5' regulatory region	TERT promoter	5p15	5	NC_000005.10	1294628	1298988	plus	0		
9606	Homo sapiens	107980440	0	live	LOC107980440		ABL breakpoint recombination region	ABL proto-oncogene 1, non-receptor tyrosine kinase recombination region|Philadelphia Chromosome ABL recombination region	9q34.1	9	NC_000009.12	130710129	130854140	plus	0		
9606	Homo sapiens	105259599	0	live	H19-ICR	BWS, H19-DMD, IC1, ICR1, ICR1-DMR, SRS1, WT2	H19/IGF2 imprinting control region	ICR1 differentially methylated region|imprinting center 1	11p15.5	11	NC_000011.10	1998745	2003509	plus	0	616186	
9606	Homo sapiens	111589215	0	live	LOC111589215		BRCA1 promoter region	BRCA1-NBR1 bi-directional regulatory region|NBR1 promoter		17	NC_000017.11	43124495	43127162	plus	0		
9606	Homo sapiens	111365141	0	live	LOC111365141		NOS2 5' regulatory region	Sharpr-MPRA regulatory region 4166|iNOS promoter region		17	NC_000017.11	27800158	27817264	plus	0		
9606	Homo sapiens	109461477	0	live	LOC109461477		dystrophia myotonica protein kinase repeat instability region	DM1 repeat instability region|DMPK repeat instability region|myotonic dystrophy type 1 repeat instability region	19q13.32	19	NC_000019.10	45770205	45770266	plus	0		
9606	Homo sapiens	107126361	0	live	CD2-LCR	CD2-DCR	CD2 locus control region	CD2 T-cell-specific enhancer|CD2 dominant control region|CD2 lymphoctye-specific enhancer	1p13.1	1	NC_000001.11	116769217	116774826	plus	0		
9606	Homo sapiens	111099028	0	live	LOC111099028		ERG, ETS transcription factor breakpoint cluster recombination region	ERG breakpoint cluster recombination region	21q22.2	21	NC_000021.9	38454791	38522956	plus	0		
9606	Homo sapiens	111099027	0	live	LOC111099027		transmembrane protease serine 2 breakpoint cluster recombination region	TMPRSS2 breakpoint cluster recombination region	21q22.3	21	NC_000021.9	41485268	41507010	plus	0		
9606	Homo sapiens	107963955	0	live	LOC107963955		BCR-ABL major-breakpoint cluster region	BCR p210 Philadelphia chromosome recombination region|BCR p210 breakpoint recombination region|t(9;22)(q34;q11) M-BCR recombination region	22q11.23	22	NC_000022.11	23289649	23292626	plus	0		
9606	Homo sapiens	106144573	0	live	HBA-LCR	alpha-LCR	alpha-globin locus control region	CRISPRi-validated cis-regulatory element chr16.29|CRISPRi-validated cis-regulatory element chr16.30|alpha-globin DCR|alpha-globin dominant control region|alpha-locus controlling region	16p13.3	16	NC_000016.10	87808	152854	plus	0		
9606	Homo sapiens	110973015	0	live	LOC110973015		NOS3 5' regulatory region	eNOS promoter region		7	NC_000007.14	150988222	150994129	plus	0		
9606	Homo sapiens	108663987	0	live	LOC108663987		ataxin 3 repeat instability region	ATXN3 repeat instability region|Machado-Joseph repeat instability region|SCA3 repeat instability region|spinocerebellar ataxia type 3 repeat instability region	14q21	14	NC_000014.9	92071011	92071052	plus	0		
9606	Homo sapiens	110366354	0	live	LOC110366354	CLEM, XREM	CYP3A4 5' regulatory region	CYP3A4 promoter|constitutive liver enhancer module of CYP3A4 (CLEM)|xenobiotic responsive element module (XREM)		7	NC_000007.14	99784132	99796700	plus	0		
9606	Homo sapiens	109623489	0	live	LOC109623489		insulin repeat instability region	INS repeat instability region	11p15.5	11	NC_000011.10	2161574	2161971	plus	0		
9606	Homo sapiens	111832670	0	live	LOC111832670		alpha fetoprotein (AFP) 5' regulatory region	AFP enhancer/promoter region	4q13	4	NC_000004.12	73430193	73436247	plus	0		
9606	Homo sapiens	107604627	0	live	OPSIN-LCR	L/M-LCR, LCR-OPSIN, OPN1C	opsin locus control region	M-cone opsin locus-controlling region|OPN1LW/OPN1MW locus control region|red-green cone pigment regulatory region|red/green opsin LCR	Xq28	X	NC_000023.11	154137727	154144286	plus	0	300824	
9606	Homo sapiens	110806307	0	live	STIN2-VNTR	5HTT-VNTR2, 5HTTVNTR, STin2.10, STin2.12, STin2.9, VNTR2	serotonin transporter intronic VNTR enhancer	5-HTT polymorphic intron 2 enhancer|SLC6A4 intronic VNTR enhancer|serotonin transporter gene variable number tandem repeat in intron 2	17q11.2	17	NC_000017.11	30221317	30221615	plus	0		
9606	Homo sapiens	110467515	0	live	LOC110467515		CYP1A1 5' regulatory region	CYP1A1 promoter-proximal region		15	NC_000015.10	74723795	74727365	plus	0		
9606	Homo sapiens	109504725	0	live	LOC109504725		androgen receptor repeat instability region	AR repeat instability region|SBMA repeat instability region|spinal and bulbar muscular atrophy repeat instability region	Xq12	X	NC_000023.11	67545317	67545419	plus	0		
9606	Homo sapiens	110386951	0	live	LOC110386951		CYP19A1 promoter II/1.3	CYP19A1 promoter I.3|CYP19A1 promoter I.6|CYP19A1 promoter II|aromatase P450 promoter (II)|aromatase promoter II/I.3		15	NC_000015.10	51242868	51244050	plus	0		
9606	Homo sapiens	109461479	0	live	LOC109461479		huntingtin repeat instability region	HTT repeat instability region|Huntington disease repeat instability region	4p16.3	4	NC_000004.12	3074877	3074940	plus	0		
9606	Homo sapiens	107548112	0	live	LOC107548112		REN promoter and enhancer region			1	NC_000001.11	204162166	204178479	plus	0		
9606	Homo sapiens	107963951	0	live	LOC107963951		BCR-ABL minor-breakpoint cluster region	BCR p190 Philadelphia chromosome recombination region|BCR p190 breakpoint recombination region|t(9;22)(q34;q11) m-BCR recombination region	22q11.23	22	NC_000022.11	23217698	23253190	plus	0		
9606	Homo sapiens	109461478	0	live	LOC109461478		ATXN8 opposite strand (non-protein coding) repeat instability region	ATXN8OS repeat instability region|SCA8 repeat instability region|spinocerebellar ataxia type 8 repeat instability region	13q21.33	13	NC_000013.11	70139352	70139429	plus	0		
9606	Homo sapiens	108663996	0	live	LOC108663996		TATA-box binding protein repeat instability region	SCA17 repeat instability region|TBP repeat instability region|spinocerebellar ataxia type 17 repeat instability region	6q27	6	NC_000006.12	170561907	170562021	plus	0		
9606	Homo sapiens	108964933	0	live	LOC108964933		CYP11A1 promoter region			15	NC_000015.10	74367596	74369998	plus	0		
