chrom	chromStart	chromEnd	copy_number	syndrome
chr1	10001	12840259	1	1p36微缺失综合征
chr1	145386506	145748067	1	血小板减少-桡骨缺失综合征(TAR,1q21.1易感区域)
chr1	146533376	147883376	1	1q21.1复发性微缺失(神经发育障碍的易感区域)
chr1	146533376	147883376	3	1q21.1复发性微重复(神经发育障碍的可能易感区域)
chr2	44410451	44589584	1	2p21微缺失综合征
chr2	59285696	61819815	1	2p15-16.1微缺失综合征
chr2	196925121	205206939	1	2q33.1缺失综合征
chr2	239969863	240322643	1	2q37缺失
chr3	195726835	197344663	3	3q29微重复综合征
chr3	195726835	197344663	1	3q29微缺失综合征
chr4	1569197	2110236	1	Wolf-Hirschhorn综合征
chr5	10001	12533304	1	猫叫综合征
chr5	112043201	112181936	1	家族性腺瘤息肉病
chr5	126112314	126172712	3	成人发病的常染色体显性遗传性脑白质营养不良
chr5	175724636	177052116	1	Sotos综合征
chr7	72744455	74142672	1	Williams-Beuren综合征
chr7	72744455	74142672	3	7q11.23重复综合征
chr7	96318078	96339203	1	手劈裂/脚畸形1
chr8	8100055	11764629	3	8p23.1重复综合征
chr8	8100055	11764629	1	8p23.1缺失综合征
chr8	77226464	77766239	1	8q21.11微缺失综合征
chr9	140513443	140730578	1	9q亚端粒缺失综合征
chr11	31806339	32457087	1	WAGR 11p13缺失综合征
chr11	43994800	46052450	1	Potocki-Shaffer综合征
chr12	1080000	1346471	1	12p13.33微缺失综合征
chr12	65071919	68645525	1	12q14微缺失综合征
chr15	22749354	28438266	1	Prader-Willi综合征1型
chr15	22749354	28438266	1	Angelman综合征1型
chr15	23619912	28438266	1	Prader-Willi综合征2型
chr15	23619912	28438266	1	Angelman综合征2型
chr15	30910306	32445407	1	15q13.3微缺失综合征
chr15	74412643	75972911	1	15q24复发性微缺失综合征
chr15	99357970	102521392	3	15q26过度发育综合征
chr16	60001	834372	1	ATR-16综合征
chr16	3775055	3930121	1	Rubinstein-Taybi综合征
chr16	14986684	16486684	3	16p13.11复发性微重复(神经认知障碍易感区域)
chr16	14986684	16486684	1	16p13.11复发性微缺失(神经认知障碍易感区域)
chr16	21475060	29284077	3	16p11.2-p12.2微重复综合征
chr16	21512062	30199854	1	16p11.2-p12.2微缺失综合征
chr16	21946524	22467284	1	16p12.1复发性微缺失(神经发育障碍易感区域)
chr16	29606852	30199855	3	16p11.2微重复综合征
chr17	1	2588909	1	Miller-Dieker综合征
chr17	14097915	15470903	3	Charcot-Marie-Tooth综合征1A型
chr17	14097915	15470903	1	遗传性压力易感性神经病
chr17	16773072	20222149	1	Smith-Magenis综合征
chr17	16773072	20222149	3	Potocki-Lupski综合征(17p11.2重复综合征)
chr17	29107097	30263321	1	NF1微缺失综合征
chr17	34815072	36215917	1	肾囊肿和糖尿病
chr17	43705166	44294406	1	17q21.31复发性微缺失综合征(Koolen de Vries综合征)
chr21	27252860	27543446	3	早发型阿尔茨海默病伴随脑淀粉样血管病
chr22	1	16971860	4	猫眼综合征1型
chr22	19009792	21452445	3	22q11重复综合征
chr22	19009792	21452445	1	22q11缺失综合征(Velocardiofacial/DiGeorge综合征)
chr22	21917117	23722445	1	22q11.2远端缺失综合征
chr22	51045516	51187844	1	22q13缺失综合征(Phelan-Mcdermid综合征)
chrX	460558	753877	1	Leri-Weill dyschondrostosis-SHOX缺失1
chrX	751878	867875	1	Leri-Weill dyschondrostosis-SHOX缺失2
chrX	6455812	8133195	0	类固醇硫酸酯酶缺乏症
chrX	48334549	52117661	3	Xp11.22-p11.23微重复
chrX	53401070	53683275	3	Xp11.22-连锁-智力异常
chrX	103031438	103047547	3	Pelizaeus-Merzbacher病
chrX	153287263	153363188	3	Xq28(MECP2)重复
chrX	153624563	153881853	3	Xq28微重复
chrY	14352761	15154862	0	Y微缺失(AZFa)
chrY	19964826	27793830	0	Y微缺失(AZFb+AZFc)
chrY	20118045	26065197	0	Y微缺失(AZFb)
chrY	24977425	28033929	0	Y微缺失(AZFc)
