chrom	loc.start	loc.end	num.mark	seg.mean	FusedLasso	Effective
chr1	860001	4800001	3	1.57370718441085	0.752906837252186	4980000
chr1	6320001	50100001	24	-0.561139428928524	-0.839979793675665	43680000
chr1	51980001	203600001	69	0.0377569574327219	0.0511006236839772	123760000
chr1	205320001	245620001	23	-0.375972469079366	-0.564765964244556	41920000
chr2	40001	27520001	17	0.379939782308034	0.421930949979239	28860000
chr2	29340001	52460001	14	0.0480393760447613	0.00944285729740994	24800000
chr2	54320001	86760001	19	-0.599386809673519	-0.821138171165413	34220000
chr2	97420001	119440001	12	0.757005375633474	0.735973689589495	20920000
chr2	121140001	174040001	30	-0.175217465778271	-0.329478163223226	52680000
chr2	175780001	188320001	8	1.52693641121184	1.24057952505478	14340000
chr2	190160001	240060001	29	-0.098762976335326	-0.202217401668309	52580000
chr3	120001	1940001	2	1.78753661552648	0.786094944795861	3480000
chr3	3640001	7180001	3	0.0830236149155981	0.0122691071930702	5120000
chr3	8780001	51920001	25	-0.299952915624175	-0.521182920519597	44760000
chr3	53740001	76260001	14	-0.0260700548555131	-0.0660646586574919	23540000
chr3	78000001	115740001	16	0.457921292997451	0.560105541054789	29000000
chr3	117420001	142840001	15	-0.615683648415496	-0.808352001572683	26500000
chr3	144520001	173920001	17	-0.0934394889018794	-0.159448517476851	31000000
chr3	175720001	186980001	7	-0.0249707850450022	-0.0558476102794959	12900000
chr3	188640001	193840001	4	0.890659838838883	0.543758415344942	8920000
chr4	60001	7500001	5	0.424849806080062	0.307412903751844	8560000
chr4	9940001	20240001	7	-0.901096063173348	-0.892755972115201	11980000
chr4	21940001	79320001	29	-0.108312385951525	-0.244521255940577	53700000
chr4	81100001	135740001	30	0.144499905575854	0.250345060623692	55740000
chr4	137660001	170820001	19	-0.487878772686047	-0.800077129890976	34500000
chr4	172660001	188740001	10	0.101269956485648	0.0807212818721337	18120000
chr5	40001	2140001	2	1.10599661690657	0.559359473600015	3380000
chr5	3740001	10320001	5	0.0616941621635144	0.0170921446435413	8180000
chr5	11960001	23560001	7	-0.430052475091094	-0.467989315512864	12820000
chr5	25520001	44460001	11	0.375509587041131	0.438184184561496	20380000
chr5	51000001	56480001	4	1.12144954020751	0.817452121830806	7180000
