##Chr	Start	End	Effective_Length
chr1	720001	249220000	218300000
chr10	100001	135520000	125980000
chr11	180001	134940000	129160000
chr12	160001	133840000	128220000
chr13	19500001	115100000	94780000
chr14	19100001	107280000	87140000
chr15	20840001	102400000	76920000
chr16	80001	90160000	72960000
chr17	1	81160000	75020000
chr18	40001	78000000	73700000
chr19	240001	59100000	45980000
chr2	20001	243060000	231160000
chr20	60001	62920000	58600000
chr21	14300001	48100000	33140000
chr22	17900001	51200000	31960000
chr3	60001	197860000	186980000
chr4	20001	191040000	185380000
chr5	20001	180720000	172940000
chr6	140001	170920000	165180000
chr7	40001	159120000	150680000
chr8	160001	146300000	139000000
chr9	200001	141080000	108260000
chrX	2700001	154920000	141180000
chrY	2660001	28780000	12820000
