chromosome	hg19_start	hg19_end	region	level	color	direction
chrY	10084559	13137212	centromere	1	black	
chrY	19964826	27793830	AZFb+AZFc 	1	black	
chrY	28819361	58901318	heterochromatin	1	black	
chrY	6102900	9757154	IR3-IR3	3	black	
chrY	14352761	15154862	AZFa	3	black	
chrY	20118045	26065197	AZFb	2	black	
chrY	24977425	28033929	AZFc	3	black	
chrY	16095800	16170673	P8	4	grey	
chrY	17986732	18016829	P7	4	grey	
chrY	18271433	18537676	P6	4	grey	
chrY	19567684	20612087	P5	4	grey	
chrY	20612100	21032070	P4	4	grey	
chrY	24071036	24807667	P3	4	grey	
chrY	25207855	25505142	P2	4	grey	
chrY	25680814	28282096	P1	4	grey	
chrY	6102900	6400803	IR3	5	black	-
chrY	9166090	9466025	TSPY array	4	black	-
chrY	9466026	9757154	IR3	5	black	+
chrY	19567684	20063187	y3	5	yellow	-
chrY	20066598	20612087	y4	5	yellow	+
chrY	20612100	20802247	b5	5	blue	-
chrY	20841913	21032070	b6	5	blue	+
chrY	23667311	23729144	IR2	5	blue	-
chrY	24008303	24070127	IR2	5	blue	+
chrY	24071036	24221128	b1	5	blue	-
chrY	24221129	24354882	t1	5	purple	-
chrY	24354883	24523829	u2	5	grey	+
chrY	24523830	24657561	t2	5	purple	+
chrY	24657562	24807667	b2	5	blue	+
chrY	24807668	24892827	u3	5	grey	+
chrY	24892828	25207852	g1	5	green	-
chrY	25207855	25354349	r1	5	red	-
chrY	25356488	25505142	r2	5	red	+
chrY	25505143	25680813	Gr1	5	grey	-
chrY	25680814	25830813	b3	5	blue	-
chrY	25830814	26526596	y1	5	yellow	-
chrY	26526597	26841598	g2	5	green	-
chrY	26841599	26968735	r3	5	red	-
chrY	26970872	27120802	r4	5	red	+
chrY	27120803	27435836	g3	5	green	+
chrY	27435837	28131556	y2	5	yellow	+
chrY	28131557	28282096	b4	5	blue	+
chrY	28282097	28457769	Gr2	5	grey	+
