Chrom	Start	End	type	NameCN	NameEN	Clinical_Synopsis	Reference
chr1	10001	12840259	DEL	1p36微缺失综合征	1p36 microdeletion syndrome	1p36缺失综合征以典型的颅面异常为特征，包括眉毛直、眼窝深陷、中面部发育不全、鼻梁宽而下凹、中间隔长、尖下巴、前囟大而后闭(77%)、小头畸形(65%)、内眦赘皮(50%)、低位耳。其他特征包括短肢/弯曲趾和短足。发育迟缓/不同程度的智力障碍的表型在所有人群中均存在，而低张力症占95%。癫痫发作发生在44%-58%的患者中。其他表型包括脑结构异常(88%)、先天性心脏缺陷(71%)、眼睛/视力问题(52%)、听力损失(47%)、骨骼异常(41%)、外生殖器异常(25%)和肾脏异常(22%)。	[1] Agatino Battaglia, MD. 1p36 Deletion Syndrome. GeneReviews, 2013. 
chr1	145386506	145748067	DEL	1q21.1与血小板减少伴挠骨缺失(TAR)综合征的易感基因位点	1q21.1 susceptibility locus for Thrombocytopenia-Absent Radius (TAR) syndrome	该综合征主要表现为血小板减少，手指的伸展、桡骨的偏离以及腕骨和趾骨的发育不全，伴或不伴有下肢的轻微异常等，除此之外，该综合征患者通常对牛奶过敏，可也能伴有心脏和泌尿生殖系统的其他异常。	[1] Albers, C. A., Paul, D. S.,et al. Compound inheritance of a low-frequency regulatory SNP and a rare null mutation in exon-junction complex subunit RBM8A causes TAR syndrome. Nature Genet. 2012, 44: 435-439.[2] Helga V Toriello, PhD. Thrombocytopenia Absent Radius Syndrome. GeneReviews, 2016. 
chr1	146533376	147883376	DEL	1q21.1复发性微缺失（神经发育障碍的易感基因位点）	1q21.1 recurrent microdeletion (susceptibility locus for neurodevelopmental disorders)	1q21.1复发性微缺失患者临床表型高度可变，一部分患者可能完全不受影响，一部分患者可表现出轻重不一的表型。最常见的包括小头畸形（50%），轻度智力障碍（30%），轻度精神障碍，面部畸形，眼睛畸形（26%）。其他发现包括心脏缺陷、泌尿生殖系统异常、骨骼畸形和癫痫发作（约15%）。精神和行为异常包括自闭症谱系障碍、注意力缺陷多动障碍、自闭症特征和睡眠障碍。	[1] Chad R Haldeman-Englert, MD and Tamison Jewett, MD. 1q21.1 Recurrent Microdeletion. GeneReviews, 2015. 
chr1	146533376	147883376	DUP	1q21.1复发性微重复（可能是神经发育障碍的易感位点）	1q21.1 recurrent microduplication (possible susceptibility locus for neurodevelopmental disorders)	一些携带有1q21.1微重复的人具有发育迟缓和轻度至中度的智力障碍，也可能有自闭症谱系障碍的特征。其特点是沟通和社交能力受损，以及语言和语言的延迟发展。表达语言能力（词汇和语言的产生）往往比接受性语言技能（理解语言的能力）更受影响。在儿童时期与注意力缺陷/多动障碍（ADHD）和其他行为问题的风险增加有关。精神分裂症等精神疾病或者在一些受影响的个体中发生焦虑或抑郁等情绪障碍，通常出现在成年期。此外，一些携带者会出现心脏畸形、癫痫、不寻常的面部特征等。具有不完全的外显率特点。	[1]Brunetti-Pierri N, Berg JS, et al. Recurrent reciprocal 1q21.1 deletions and duplications associated with microcephaly or macrocephaly and developmental and behavioral abnormalities. Nature genetics, 2008;40;12;1466-71. 
chr2	44410451	44589584	DEL	2p21 微缺失综合征	2p21 Microdeletion Syndrome	2p21微缺失综合征又称张力减退 - 胱氨酸尿症综合征。主要的临床表型包括胱氨酸尿症，新生儿癫痫发作，张力减退，严重的生长发育迟缓，面部畸形和乳酸血症。是由染色体2p21上至少四个连续基因的纯合缺失引起的连续基因综合征：SLC3A1，PREPL，PPM1B和C2orf34。	[1]Parvari R, Gonen Y, et al. The 2p21 deletion syndrome: characterization of the transcription content. Genomics, 2005 ;86;2;195-211. 
chr2	59285696	61819815	DEL	2p15-16.1微缺失综合征	2p15-16.1 microdeletion syndrome	在迄今为止已发表的患者中，在> 50％的病例中观察到的临床特征包括：发育迟缓和智力障碍，语言延迟，喂养问题，肌张力减退，小头畸形，颅面特征（鼻根异常，内眦赘皮，内眦距过宽，上睑下垂） ，下垂的睑裂，平滑和长的人中，高、窄的上腭和远端肢体异常（主要是屈曲指和/或跖骨内旋）。在约30％的病例中可见结构性脑异常。	[1]Bagheri H, Badduke C,et al. Identifying candidate genes for 2p15p16.1 microdeletion syndrome using clinical, genomic, and functional analysis. JCI insight, 2016;1;3;e85461. 
chr2	196925121	205206939	DEL	2q33.1缺失综合征	2q33.1 deletion syndrome	2q33.1微缺失综合征是一种罕见的染色体异常综合征，由2号染色体长臂的部分缺失引起，具有高度可变的表型，通常表现为严重的智力障碍，中度至严重的发育迟缓（特别是言语），喂养困难，未能茁壮成长，肌张力减退，稀疏的头发，各种牙齿异常和裂隙/高拱形腭。典型的畸形特征包括高突前额，睑裂下斜和突出的鼻梁与鼻尖。与各种行为问题（例如，多动，混乱/重复行为）也相关联。	[1] Van Buggenhout G, Van Ravenswaaij-Arts C, et al. The del(2)(q32.2q33) deletion syndrome defined by clinical and molecular characterization of four patients. European journal of medical genetics, 2005; 48;3;276-89. 
chr2	239969863	240322643	DEL	2q37缺失综合征	2q37 monosomy	2q37.3终端区域缺失会引起2q37缺失综合征[MIM#600430]。2q37缺失综合征为常染色体显性遗传，表型可变，主要临床特征为发育迟缓，骨骼畸形和面部畸形。具体包括轻度-中度发育迟缓，智力障碍，3-5位(通常为4位)指间质过短，身材矮小，肥胖，肌张力低下，特征性面部特征，自闭症或自闭症谱系障碍，关节过度活动/脱位，脊柱侧弯等，部分患者表现出癫痫发作，先天性心脏病，中枢神经系统异常(脑积水，心室扩张)，脐/腹股沟疝，气管软化，位置异常，胃肠异常和肾脏畸形等。个体间临床表现存在差异性。	[1] Doherty ES. 2q37 Microdeletion Syndrome. GeneReviews, 2013.[2] Shrimpton AE, Braddock BR, et al. Molecular delineation of deletions on 2q37.3 in three cases with an Albright hereditary osteodystrophy-like phenotype. Clinical genetics. 2004, 66(6):537-544. 
chr3	195726835	197344663	DEL	3q29微缺失综合征	3q29 microdeletion syndrome	3q29微缺失综合征的临床表型变化很大。最常见的特征包括轻度至中度的智力缺陷和轻度变形的面部特征：小头畸形，长而窄的面部，短的人中，大的后旋耳和高鼻梁。偶尔也会出现自闭症和步态共济失调。先天性畸形并不常见：仅有罕见的马蹄肾，尿道下裂和先天性心脏缺陷（动脉导管未闭）见报道。	[1]Willatt L, Cox J, Barber, et al. 3q29 microdeletion syndrome: clinical and molecular characterization of a new syndrome. American journal of human genetics, 2005; 77;1;154-60. 
chr3	195726835	197344663	DUP	3q29微重复综合征	3q29 microduplication syndrome	3q29 微重复综合征为常染色体显性遗传，患者临床表型高度可变，一部分患者可能完全不受影响，一部分患者可表现出轻重不一的表型，最一致的特征是轻度或中度智力缺陷和小头畸形。其他异常表型包括发育迟缓，小头畸形，眼部异常，心脏异常，肌张力低下，语言发育迟缓，颅缝早闭，高腭，牙齿异常，传导性听力损失（由于外耳或中耳的机械问题引起的听力损失），肌肉骨骼异常和癫痫发作等。根据嵌合比例的不同，患者的临床表征存在差异性。综上所述，该变异暂定为可能致病性，请医生结合受检者临床表现、家族史和其他检测结果综合分析。	[1]Nicole MORICHON-DELVALLEZ. 3q29 microduplication. Orphanet. March 2011.[2]Goobie S, et al. Molecular and clinical characterization of de novo and familial cases with microduplication 3q29: guidelines for copy number variation case reporting. Cytogenetic and Genome Research, 2008, 123(1-4):65-78.[3]3q29 duplications and microduplications. Unique. 2011. 
