##Chr	Start	End
chr1	121500001	142600000
chr10	38000001	42300000
chr11	51600001	55700000
chr12	33300001	38200000
chr13	1	19500000
chr14	1	19100000
chr15	1	20700000
chr16	34600001	47000000
chr17	22200001	25800000
chr18	15400001	19000000
chr19	20000001	32400000
chr2	90500001	96800000
chr20	25600001	29400000
chr21	1	14300000
chr22	1	17900000
chr3	87900001	98300000
chr4	48200001	52700000
chr5	46100001	50700000
chr6	58700001	63300000
chr7	58000001	61700000
chr8	43100001	48100000
chr9	47300001	65900000
chrX	58100001	63000000
chrY	11600001	13400000
chrY	28800001	59373566
chrX	60001	2699520
chrX	154931044	155260560
chrY	10001	2649520
chrY	59034050	59363566
